Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Unknown,Uttar Pradesh,Uttarakhand,West Bengal
Country/Region,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India
07-28-2020,145,51701,662,8088,13461,321,2529,380,10994,1673,13146,6684,1040,7667,4824,61827,9619,236,0,7978,147896,690,547,191,811,9371,1109,4387,10124,380,54896,13753,1565,0,26204,2587,19502
07-29-2020,166,63771,730,8371,15482,353,2855,376,10770,1666,13535,6798,1057,7749,5728,67456,10364,261,0,8357,146433,819,572,183,913,10077,1256,4372,10745,397,57490,1786,0,29997,2983,19652,13753
07-30-2020,225,69252,654,9233,16845,355,2789,394,10743,1657,13793,6497,1105,7662,5888,69708,10364,277,0,8454,148454,829,588,174,936,10463,1292,4577,11097,395,57962,1723,0,32649,2993,19900,13753
07-31-2020,329,75720,670,9814,17579,369,2803,412,10705,1657,14090,6317,1091,7765,6538,72013,10517,302,0,8668,150966,927,603,165,1053,11182,1323,4999,11589,407,57968,16796,1630,0,34968,2935,20233
08-01-2020,403,72188,701,10183,18937,378,2720,418,10596,1707,14300,6250,1118,7713,7060,73227,10886,347,0,8769,149520,1051,599,215,1186,12018,1357,5583,11979,380,56738,17754,1747,0,36037,3034,20631
08-02-2020,484,74404,699,10415,20306,400,2482,416,10356,1809,14572,6396,1130,7893,7723,74598,11366,351,0,9099,148843,1087,605,224,1282,12761,1445,5964,12391,368,56998,18547,1742,0,38023,3070,21108
08-03-2020,557,76377,692,11738,20770,434,2462,412,10207,1884,14599,6263,1146,7567,8561,74477,11511,369,0,9286,147324,1147,633,235,1467,13016,1515,6203,12802,390,56698,18708,1802,0,40191,3172,21683
08-04-2020,639,79104,682,13625,21093,471,2520,404,9897,1901,14690,6122,1155,7123,8648,73854,11570,400,0,8756,142458,1197,582,222,1741,12982,1552,6062,13115,483,55152,19568,1873,0,41222,3066,22315
08-05-2020,687,80426,642,14432,22001,535,2465,404,10072,2072,14680,6133,1140,7285,9049,73966,11524,421,0,8741,146268,1224,594,251,1807,13055,1700,6422,12678,496,54184,20358,1901,0,41973,2923,22992
