Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de Mexico,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Unknown,Veracruz,Yucatan,Zacatecas
Country/Region,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico
11-12-2020,10164,20217,12705,5735,6443,21499,163667,34388,6175,16067,49681,20441,14541,32605,87931,24285,6015,6015,54930,20851,32243,15535,11946,28798,19059,36742,32409,30682,7487,-736197,33000,20534,11989
11-13-2020,10255,20333,12746,5741,6438,21869,165018,34557,6187,16213,50004,20486,14614,32741,88149,24384,6039,6025,55232,20979,32468,15723,11969,29045,19116,36954,32484,30762,7506,-741340,33025,20598,12109
11-14-2020,10259,20384,12834,5747,6446,22067,166634,34681,6193,16451,50374,20526,14688,32875,88501,24505,6046,6039,55602,21063,32611,15912,11998,29320,19176,37078,32585,30844,7515,-745361,33117,20710,12213
11-15-2020,10274,20405,12841,5750,6448,22202,167198,34817,6195,16516,50606,20568,14693,33000,88619,24698,6044,6047,56150,21061,32659,16041,12011,29484,19234,37095,32671,30844,7503,-750190,33146,20779,12381
11-16-2020,10274,20443,12906,5756,6457,22453,167524,34889,6196,16572,50776,20626,14783,33132,88639,24723,6045,6049,56451,21063,32706,16209,12020,29579,19290,37248,32745,30908,7546,-754200,33222,20816,12489
11-17-2020,10274,20454,12917,5762,6458,22529,167914,34935,6200,16694,50946,20657,14815,33198,88680,24771,6051,6056,56455,21165,32729,16230,12025,29695,19294,37405,32798,30908,7548,-757951,33231,20844,12489
11-18-2020,10273,20537,12947,5767,6461,22772,169144,34966,6206,16812,51359,20678,14898,33254,88857,24825,6069,6067,56610,21296,32814,16253,12050,29765,19368,37483,32845,30931,7557,-762025,33248,20878,12553
11-19-2020,10275,20584,12955,5769,6475,23154,170417,35110,6214,17026,51627,20683,14958,33362,89086,24887,6087,6086,56801,21436,32932,16271,12069,29807,19403,37637,32967,30948,7589,-766361,33288,20934,12602
11-20-2020,10298,20693,13033,5779,6485,23931,171726,35278,6228,17163,52225,20683,15071,33704,89299,24943,6127,6095,57186,21606,33112,16504,12093,29946,19460,37812,33045,31145,7600,-770728,33272,20950,12654
11-21-2020,10298,20693,13033,5779,6485,23931,171726,35278,6228,17163,52225,20683,15071,33704,89299,24943,6127,6095,57186,21606,33112,16504,12093,29946,19460,37812,33045,31145,7600,-770728,33272,20950,12654
11-22-2020,10927,20914,13193,5805,6504,24823,174241,36041,6279,17762,53511,20814,15384,34293,90321,25340,6222,6137,58418,21736,33458,17344,12168,30491,19642,38156,33236,31242,7652,-779104,33536,21154,13455
11-23-2020,11280,21042,13298,5817,6518,24894,175311,36417,6299,18045,54215,20872,15487,34535,91032,25403,6279,6165,59178,21768,33569,17734,12203,30787,19796,38425,33335,31334,7686,-784693,33715,21252,13741
11-24-2020,11484,21429,13387,5823,6523,25260,178070,36775,6324,18319,55109,20916,15623,34733,92073,25446,6354,6176,60066,21929,33717,18158,12230,31003,19979,38557,33442,31633,7697,-791516,33770,21312,14096
11-25-2020,11730,21649,13444,5828,6535,25453,180584,37157,6347,18638,55762,20998,15756,34965,93108,25479,6435,6193,60717,22079,33999,18696,12277,31198,20124,38763,33534,32088,7766,-798037,33765,21407,14416
11-26-2020,11848,21858,13494,5839,6542,25640,182713,37364,6356,19145,56156,21056,15914,35157,93776,25599,6476,6211,61155,22196,34138,19189,12318,31320,20213,38899,33642,32221,7901,-803581,33861,21496,14659
11-27-2020,11848,21858,13494,5839,6542,25640,182713,37364,6356,19145,56156,21056,15914,35157,93776,25599,6476,6211,61155,22196,34138,19189,12318,31320,20213,38899,33642,32221,7901,-803581,33861,21496,14659
11-28-2020,11969,22337,13679,5848,6643,26241,186964,38238,6343,19713,57543,21230,16251,35864,98912,26634,6547,6179,62315,22514,34506,19860,12449,31802,20372,39336,33868,32512,8170,-803581,34151,21727,15227
11-29-2020,12429,22322,13726,5871,6567,26419,192695,38455,6424,19935,58114,21228,16309,36140,95572,26033,6548,6249,62626,22432,34667,20165,12474,31969,20425,39559,34039,32618,8116,-818397,34078,21846,15366
11-30-2020,12769,22548,13837,5884,6577,26521,194141,38652,6455,20051,58567,21337,16443,36440,96044,26171,6564,6262,62805,22456,34747,20455,12513,32183,20515,40026,34239,32631,8136,-823586,34191,21956,15487
12-01-2020,12842,22682,13894,5891,6582,26704,197369,38737,6511,20166,59251,21369,16525,36732,96888,26252,6618,6276,63172,22584,34847,20787,12540,32351,20567,40228,34401,32747,8180,-829817,34208,22076,15620
12-02-2020,12928,22910,13975,5908,6598,26858,201260,38984,6526,20337,60155,21414,16617,37274,97682,26341,6714,6318,63697,22686,35054,21302,12578,32601,20623,40640,34545,33017,8219,-836567,34223,22162,15902
12-03-2020,12960,23084,14100,5912,6615,27198,205651,39235,6555,20527,60971,21482,16710,37549,98531,26458,6734,6326,64399,22814,35240,21608,12640,32787,20693,41004,34725,33152,8228,-843231,34195,22277,16110
