Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Port Quarantine,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Unknown,Wakayama,Yamagata,Yamaguchi,Yamanashi
Country/Region,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
07-18-2020,98,0,7,263,0,4,110,2,15,12,35,87,88,24,7,0,16,75,314,2,0,114,8,31,3,7,21,49,6,0,9,4,372,233,-2,457,5,1,20,37,5,2178,2,3,0,16,4,5,2
07-19-2020,119,0,7,288,1,4,143,2,19,12,39,96,109,29,7,0,16,76,342,2,0,126,9,31,3,7,22,52,6,0,13,4,461,242,-2,495,6,1,24,46,5,2354,2,3,0,16,4,5,3
07-20-2020,136,0,7,269,1,4,160,2,22,12,37,84,100,23,6,0,16,81,276,2,1,153,10,35,2,11,29,51,6,0,16,7,510,253,,469,10,1,24,46,5,2205,2,3,0,17,3,5,4
07-21-2020,189,0,7,274,1,4,212,2,33,14,40,92,105,26,9,0,16,71,332,3,2,165,10,31,2,10,29,56,5,0,14,9,524,268,0,471,13,1,25,49,5,2317,2,5,0,20,2,5,4
07-22-2020,250,0,7,290,1,4,267,3,39,18,44,92,134,28,9,0,17,66,245,2,4,177,11,28,5,8,32,55,7,0,13,10,618,272,7,516,24,2,35,51,5,2224,2,6,0,22,2,8,4
07-23-2020,347,0,7,323,1,4,327,4,45,20,59,88,168,28,10,0,17,81,352,2,7,184,14,26,9,8,32,60,6,0,14,15,668,273,12,510,40,2,34,52,5,2336,1,7,0,25,2,10,9
07-24-2020,405,0,7,317,2,4,365,4,50,20,59,90,172,28,13,0,17,91,333,3,8,199,14,19,18,9,33,69,6,0,17,25,783,278,14,527,45,4,41,54,5,2511,1,6,0,28,2,10,10
07-25-2020,481,1,7,322,2,4,412,4,54,22,63,93,176,28,13,0,17,86,322,3,10,203,14,18,37,10,33,72,6,0,27,37,881,289,17,469,46,5,71,62,5,2743,2,6,0,30,2,10,9
07-26-2020,554,2,7,341,3,4,493,3,63,21,64,91,207,28,16,0,14,91,337,4,35,216,18,14,49,14,34,77,8,0,29,43,1020,295,18,502,47,3,110,69,6,2930,2,6,0,33,1,13,9
