Admin2,,,,,,,,,,,,,,,,,
Province/State,Baden-Wurttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thuringen,Unknown
Country/Region,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
05-14-2020,2775,3962,479,311,295,348,1146,20,1038,2958,394,156,451,116,263,330,1252
05-15-2020,2513,3745,456,227,316,381,875,25,969,2974,423,151,486,122,272,354,1450
05-16-2020,2563,3497,437,231,330,400,929,30,1000,3132,426,153,513,143,272,374,784
05-17-2020,2309,3420,422,238,337,297,882,31,811,2881,438,151,425,144,174,357,1079
05-18-2020,2142,3297,412,239,302,305,798,32,743,2653,436,129,423,125,176,302,993
05-19-2020,2098,3235,399,142,321,308,726,34,810,2560,419,124,384,103,174,304,1875
05-20-2020,1851,2981,407,145,238,209,837,43,763,2529,403,118,383,94,183,281,1898
05-21-2020,1728,2838,405,157,237,214,823,43,729,2466,397,116,372,85,87,255,1779
05-22-2020,1618,2606,403,160,256,219,799,37,684,2363,381,110,389,85,105,248,1955
05-23-2020,1571,2525,396,164,258,223,812,41,755,2284,363,106,315,87,126,249,1734
05-24-2020,1502,2374,390,169,171,225,902,36,804,2260,341,104,324,87,125,263,1687
05-25-2020,1428,2390,374,70,172,128,810,33,702,2133,323,97,306,91,125,239,1671
05-26-2020,1369,2226,356,76,181,128,742,33,766,2024,295,97,289,90,128,226,1835
05-27-2020,1337,2133,334,87,206,130,694,33,702,1964,309,87,270,93,130,233,1534
05-28-2020,1304,2064,333,93,230,131,744,33,787,2016,308,77,248,57,129,233,1579
05-29-2020,1364,1953,329,102,162,133,686,20,697,1916,298,77,249,53,134,232,1768
05-30-2020,1085,1829,342,109,162,136,627,20,762,2015,284,75,236,53,145,225,1646
05-31-2020,1103,1792,338,113,162,136,656,19,803,1903,265,74,241,54,50,234,1575
06-01-2020,1126,1881,321,116,162,143,567,19,746,1948,250,74,245,55,56,243,1455
06-02-2020,936,1686,317,106,206,45,580,19,770,1701,228,68,198,49,58,227,1513
06-03-2020,862,1556,312,14,221,45,500,19,733,1578,216,67,197,52,60,198,1436
06-04-2020,856,1418,333,20,256,53,547,21,725,1586,207,62,200,47,60,195,1342
06-05-2020,702,1415,319,27,170,57,481,24,848,1622,218,59,207,52,60,174,1351
06-06-2020,715,1295,336,29,175,57,488,16,815,1602,219,59,108,52,61,177,1615
06-07-2020,639,1268,340,29,190,60,519,23,858,1593,209,61,113,54,62,169,1654
06-08-2020,648,1197,341,34,191,62,423,24,940,1537,208,56,116,55,63,167,1796
06-09-2020,573,1131,344,32,206,66,453,30,891,1408,213,61,116,56,66,152,1843
06-10-2020,503,1065,368,40,224,71,371,30,874,1509,191,63,121,63,67,131,1449
06-11-2020,540,1000,374,82,129,79,407,30,918,1605,181,65,127,50,67,131,1173
06-12-2020,489,942,461,43,139,80,324,23,964,1417,179,68,127,52,72,138,1390
06-13-2020,489,873,446,56,139,84,330,23,918,1394,170,0,127,52,70,142,1191
06-14-2020,489,888,457,54,143,88,333,23,958,1488,167,2,62,72,70,135,1199
06-15-2020,446,802,475,57,148,91,233,24,893,1361,166,59,63,88,70,139,1068
06-16-2020,463,855,467,64,161,93,276,25,934,1367,159,57,64,92,71,131,1311
06-17-2020,407,757,486,92,173,93,290,26,758,1318,160,52,54,119,0,125,1244
06-18-2020,422,691,585,95,80,96,342,22,843,2176,162,51,78,135,0,130,1187
06-19-2020,441,737,671,104,90,100,404,21,877,2174,158,46,102,156,0,108,1251
06-20-2020,358,661,718,117,99,103,356,20,816,1971,162,42,112,156,0,103,1372
06-21-2020,358,677,735,129,102,110,375,19,923,2358,161,44,112,158,0,96,1280
06-22-2020,435,600,784,132,108,111,377,19,863,2555,166,41,127,127,4,93,1184
06-23-2020,393,625,802,38,107,115,312,16,789,2549,154,39,108,131,4,91,1468
06-24-2020,429,517,776,43,109,16,342,16,706,2709,154,61,114,134,5,83,1307
