Admin2,,,,,,,,
Province/State,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
Country/Region,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
03-23-2020,0,4,0,8,6,3,97,1
03-24-2020,0,4,0,8,6,3,97,1
03-25-2020,0,4,0,8,6,3,97,1
03-26-2020,1,4,0,8,6,3,149,1
03-27-2020,1,4,0,8,6,3,171,1
03-28-2020,2,4,0,8,6,5,191,28
03-29-2020,2,4,0,8,6,5,191,28
03-30-2020,2,4,0,8,6,5,191,41
03-31-2020,3,4,0,8,6,5,291,41
04-01-2020,8,4,0,8,6,5,343,48
04-02-2020,11,4,0,8,6,5,422,64
04-03-2020,18,4,0,8,46,5,476,92
04-04-2020,18,4,1,8,46,5,527,92
04-05-2020,28,4,1,8,46,5,573,92
04-06-2020,40,4,2,173,53,26,620,162
04-07-2020,40,4,2,173,53,26,620,162
04-08-2020,40,4,2,173,53,26,620,162
04-09-2020,47,4,2,345,120,48,736,170
04-10-2020,59,4,2,372,179,48,926,203
04-11-2020,59,4,2,372,179,48,926,216
04-12-2020,59,4,2,372,179,48,926,216
04-13-2020,59,4,2,372,179,48,926,216
04-14-2020,72,4,6,442,240,53,1118,251
04-15-2020,72,4,6,442,240,53,1118,251
04-16-2020,82,4,6,442,279,67,1137,338
04-17-2020,81,1379,9,442,331,67,1159,340
04-18-2020,88,1379,9,738,331,67,1172,340
04-19-2020,88,1379,9,738,331,67,1172,340
04-20-2020,88,1379,9,738,331,67,1172,340
04-21-2020,88,1379,9,738,331,67,1172,340
04-22-2020,88,1379,9,738,331,67,1172,340
04-23-2020,88,1379,9,738,331,67,1172,340
04-24-2020,88,1379,9,738,331,67,1172,340
04-25-2020,98,2193,0,803,401,117,133,478
04-26-2020,99,2208,23,926,411,123,1265,486
04-27-2020,100,2227,23,926,414,132,1280,486
04-28-2020,101,2266,25,934,420,137,1287,495
04-29-2020,101,2284,25,943,420,144,1291,507
04-30-2020,103,2293,25,948,420,153,1293,507
05-01-2020,103,2293,24,965,422,157,1300,511
05-02-2020,103,2306,24,976,427,158,1300,520
05-03-2020,103,2328,24,980,427,164,1300,523
05-04-2020,103,2349,24,980,427,165,1311,528
05-05-2020,103,2418,26,985,429,165,1321,528
05-06-2020,103,2463,27,989,432,167,1322,528
05-07-2020,103,2486,27,994,433,174,1327,534
05-08-2020,103,2504,27,1019,433,175,1327,534
05-09-2020,104,2504,27,1019,433,182,1336,536
05-10-2020,104,2517,27,1021,434,182,1346,536
05-11-2020,104,2543,27,1027,434,182,1360,536
05-12-2020,104,2571,27,1028,434,184,1385,537
05-13-2020,104,2595,27,1030,434,184,1385,538
05-14-2020,104,2605,27,1031,434,188,1407,538
05-15-2020,104,2611,27,1036,435,191,1417,538
05-16-2020,104,2611,27,1037,435,192,1417,541
05-17-2020,104,2612,27,1038,435,194,1439,543
05-18-2020,104,2614,27,1039,435,195,1454,545
05-19-2020,104,2631,27,1040,435,195,1454,545
05-20-2020,104,2648,29,1040,435,196,1473,545
05-21-2020,104,2648,29,1040,435,198,1479,545
05-22-2020,104,2653,29,1041,435,199,1479,545
05-23-2020,104,2653,29,1041,435,199,1498,549
05-24-2020,104,2656,29,1038,435,200,1520,549
05-25-2020,104,2661,29,1039,435,202,1533,549
05-26-2020,104,2663,29,1044,435,203,1533,549
05-27-2020,104,2670,29,1045,435,203,1544,549
05-28-2020,104,2666,29,1045,435,203,1544,550
05-29-2020,104,2683,29,1045,435,205,1553,551
05-30-2020,104,2685,29,1046,435,206,1557,552
05-31-2020,104,2685,29,1046,435,207,1560,552
06-01-2020,104,2687,29,1048,435,207,1563,553
06-02-2020,104,2691,29,1047,435,208,1569,553
06-03-2020,104,2700,29,1046,435,208,1569,557
06-04-2020,104,2714,29,1049,436,208,1586,557
06-05-2020,104,2719,29,1049,436,208,1586,557
06-06-2020,104,2723,29,1050,436,209,1593,559
06-07-2020,104,2724,29,1050,436,209,1595,559
06-08-2020,104,2729,29,1051,436,209,1602,560
06-09-2020,104,2735,29,1051,436,209,1616,560
06-10-2020,104,2738,29,1051,436,209,1621,571
06-11-2020,104,2743,29,1051,436,212,1632,575
06-12-2020,104,2763,29,1051,436,213,1632,575
06-13-2020,104,2766,29,1051,436,213,1657,582
06-14-2020,104,2766,29,1051,436,213,1661,591
06-15-2020,104,2768,29,1051,436,213,1664,591
06-16-2020,105,2770,29,1052,436,213,1664,592
06-17-2020,105,2770,29,1052,436,215,1678,592
06-18-2020,105,2770,29,1053,436,215,1678,592
06-19-2020,105,2771,29,1053,436,215,1680,592
06-20-2020,105,2771,29,1053,436,215,1694,593
06-21-2020,105,2771,29,1053,436,215,1701,593
06-22-2020,105,2771,29,1053,436,215,1712,594
06-23-2020,105,2771,29,1053,436,215,1721,594
06-24-2020,105,2776,29,1054,436,215,1721,595
06-25-2020,105,2782,29,1054,436,215,1742,595
06-26-2020,105,2784,29,1054,436,215,1742,595
06-27-2020,105,2784,29,1054,436,215,1775,595
06-28-2020,105,2784,29,1054,436,215,1789,595
06-29-2020,105,2784,29,1054,436,215,1816,598
06-30-2020,105,2787,29,1054,436,215,1816,598
07-01-2020,105,2787,29,1054,436,215,1866,598
07-02-2020,105,2789,29,1054,436,215,1904,598
07-03-2020,105,2977,29,1055,436,215,1904,598
07-04-2020,105,2988,29,1055,436,215,1971,600
07-05-2020,105,2988,29,1055,436,215,1992,600
07-06-2020,105,2987,29,1055,436,215,2028,600
07-07-2020,105,2986,29,1056,436,215,2058,602
07-08-2020,105,2986,29,1057,437,215,2142,602
07-09-2020,105,2987,29,1057,439,215,2142,602
07-10-2020,105,2997,29,1058,439,215,2286,604
07-11-2020,105,2988,29,1058,439,215,2289,604
07-12-2020,105,2988,29,1058,439,215,2329,606
07-13-2020,105,2988,29,1058,439,215,2395,606
07-14-2020,105,2988,29,1058,439,215,2488,606
07-15-2020,105,2988,29,1058,439,215,2591,610
07-16-2020,105,2988,29,1058,440,215,2669,610
07-17-2020,105,2988,29,1059,440,215,2709,617
07-18-2020,105,2988,29,1060,440,215,2819,618
07-19-2020,107,2988,29,1061,440,215,2933,622
07-20-2020,107,2988,29,1061,440,215,2933,625
07-21-2020,107,2988,30,1062,440,215,3078,625
07-22-2020,109,2988,30,1063,441,215,3298,631
07-23-2020,109,2988,30,1063,441,215,3298,631
07-24-2020,109,2988,30,1063,441,215,3450,642
07-25-2020,109,2988,30,1063,441,215,3529,644
07-26-2020,109,2989,30,1063,441,215,3680,647
07-27-2020,109,2989,30,1063,441,215,3817,647
07-28-2020,109,2989,30,1063,441,215,4123,647
07-29-2020,109,2989,30,1065,441,215,4123,647
07-30-2020,109,2989,30,1066,441,215,4259,650
07-31-2020,110,2989,30,1066,443,216,4479,650
08-01-2020,110,2991,30,1066,443,216,4696,652
08-02-2020,110,2991,30,1067,443,216,5111,654
08-03-2020,110,2992,30,1067,443,216,5111,654
08-04-2020,110,2994,30,1069,443,216,5283,654
08-05-2020,110,2994,30,1069,444,216,5424,654
08-06-2020,110,2994,30,1069,445,216,5628,627
08-07-2020,110,2994,30,1071,445,216,6066,628
08-08-2020,110,2994,30,1071,446,216,6378,629
08-09-2020,110,2994,30,1072,447,216,6378,629
08-10-2020,110,2994,30,1075,447,216,6642,630
08-11-2020,110,2994,31,1076,447,216,6889,632
08-12-2020,110,2994,31,1076,449,216,7271,632
08-13-2020,110,2994,31,1076,449,216,7493,632
08-14-2020,110,2994,31,1079,449,216,8121,632
08-15-2020,110,2994,33,1079,449,216,8121,633
08-16-2020,110,2994,33,1079,450,216,8570,633
08-17-2020,110,2994,33,1079,450,216,9023,633
08-18-2020,110,2994,33,1079,451,216,9413,633
08-19-2020,110,2995,33,1081,452,216,9729,633
08-20-2020,110,2994,33,1082,452,216,12334,633
08-21-2020,110,2994,33,1082,452,216,12940,633
08-22-2020,110,2994,33,1082,452,216,13239,634
08-23-2020,110,2994,33,1082,456,216,13708,634
08-24-2020,110,2994,33,1082,456,216,14077,635
08-25-2020,110,2994,33,1083,456,216,14572,636
08-26-2020,110,2994,33,1083,456,216,14572,637
08-27-2020,110,2994,33,1084,456,216,14837,637
08-28-2020,110,2994,33,1084,458,216,15101,637
08-29-2020,110,2994,33,1084,458,216,15324,641
08-30-2020,110,2994,33,1084,458,216,15580,641
08-31-2020,110,2994,33,1084,458,216,15814,641
09-01-2020,110,2994,33,1084,458,217,16152,641
09-02-2020,110,2994,33,1086,459,217,16152,641
09-03-2020,110,2994,33,1088,459,217,16370,643
09-04-2020,110,2994,33,1089,459,218,16625,644
09-05-2020,110,2994,33,1089,459,217,16784,644
09-06-2020,110,2994,33,1089,459,217,16921,644
09-07-2020,110,2994,33,1090,460,217,17056,644
09-08-2020,110,2994,33,1091,461,217,17175,644
09-09-2020,110,2994,33,1091,461,217,17311,646
09-10-2020,110,2994,33,1094,461,217,17484,646
09-11-2020,110,2994,33,1096,462,217,17771,646
09-12-2020,110,2994,33,1107,462,217,17771,646
09-13-2020,110,2994,33,1110,462,217,17893,646
09-14-2020,110,2994,33,1111,462,217,18006,646
09-15-2020,110,2994,33,1111,462,217,18079,646
09-16-2020,110,2994,33,1111,462,217,18217,648
09-17-2020,110,2994,33,1112,462,217,18278,648
09-18-2020,110,2994,33,1118,462,217,18278,649
09-19-2020,110,2994,33,1123,462,217,18379,650
09-20-2020,110,2994,33,1124,462,217,18473,650
09-21-2020,110,2994,33,1124,462,217,18567,650
09-22-2020,110,3107,33,1124,462,217,18628,650
09-23-2020,110,3113,33,1125,462,217,18738,650
09-24-2020,110,3116,33,1141,462,217,18794,650
09-25-2020,110,3116,33,1141,462,217,18794,650
09-26-2020,110,3117,33,1141,462,217,18842,651
09-27-2020,110,3118,33,1141,462,217,18901,651
09-28-2020,110,3123,33,1141,462,217,18942,653
09-29-2020,110,3129,33,1142,462,217,19006,653
09-30-2020,110,3129,33,1143,464,217,19034,654
10-01-2020,110,3129,33,1147,464,217,19034,654
10-02-2020,110,3131,33,1147,464,217,19091,657
10-03-2020,110,3131,33,1148,465,217,19102,660
10-04-2020,110,3131,33,1148,465,217,19126,660
10-05-2020,110,3131,33,1148,465,217,19126,662
10-06-2020,110,3131,33,1148,465,217,19149,664
10-07-2020,110,3133,33,1149,465,217,19162,670
10-08-2020,110,3132,31,1152,465,217,19192,670
10-09-2020,110,3132,33,1152,466,217,19207,670
10-10-2020,110,3132,33,1152,466,217,19207,670
10-11-2020,110,3134,33,1152,466,217,19218,670
10-12-2020,110,3134,33,1154,467,217,19243,671
10-13-2020,110,3140,33,1154,468,217,19248,676
10-14-2020,110,3140,33,1154,469,217,19248,676
10-15-2020,110,3142,33,1154,471,217,19259,676
10-16-2020,110,3142,33,1154,471,217,19287,683
10-17-2020,110,3142,33,1154,472,217,19287,683
10-18-2020,110,3142,33,1154,472,217,19295,685
10-19-2020,110,3142,33,1154,472,217,19299,685
10-20-2020,110,3141,33,1154,472,217,19313,685
10-21-2020,110,3141,33,1155,473,217,19329,690
10-22-2020,110,3143,33,1155,473,217,19340,690
10-23-2020,110,3145,33,1157,473,217,19346,692
10-24-2020,110,3145,33,1155,473,217,19354,692
10-25-2020,110,3145,33,1157,475,217,19359,700
10-26-2020,110,3147,33,1157,478,217,19370,700
10-27-2020,110,3147,33,1157,479,217,19370,706
10-28-2020,110,3147,33,1157,479,217,19382,706
10-29-2020,111,3148,33,1159,482,217,19381,708
10-30-2020,111,3148,33,1160,483,217,19457,712
10-31-2020,111,3148,33,1160,483,217,19466,718
11-01-2020,111,3148,33,1163,485,217,19477,718
