Admin2,,,,,,,
Province/State,Azad Jammu and Kashmir,Balochistan,Gilgit-Baltistan,Islamabad,Khyber Pakhtunkhwa,Punjab,Sindh
Country/Region,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan
06-10-2020,217,2462,616,843,3631,8643,19896
06-11-2020,237,2673,673,1164,3907,9546,22047
06-12-2020,237,2673,673,1164,3907,9546,22047
06-13-2020,242,2722,676,1671,4072,17560,23113
06-14-2020,254,2859,716,2037,4539,17710,25606
06-15-2020,264,2916,728,2037,4692,17730,28023
06-16-2020,290,3023,738,2439,4922,17780,29245
06-17-2020,302,3051,768,2439,5137,17825,29693
06-18-2020,312,3140,794,2770,5441,17892,31034
06-19-2020,317,3289,816,2770,5623,17964,32725
06-20-2020,336,3472,837,4380,6063,18692,34112
06-21-2020,348,3650,865,4681,6536,19100,36278
06-22-2020,350,3670,946,5012,6869,19580,37044
06-23-2020,366,3694,961,5012,9385,19935,38401
06-24-2020,390,3710,995,5424,11097,20262,39429
06-25-2020,395,3737,999,5839,11449,21009,40740
06-26-2020,446,3768,1027,6529,11804,21340,41992
06-27-2020,465,3810,1062,6532,12149,25162,43444
06-28-2020,520,3939,1099,6916,12348,26062,44523
06-29-2020,539,4197,1117,7261,12626,27147,45616
06-30-2020,550,4484,1128,7261,13067,27488,46824
07-01-2020,557,4764,1146,7850,13584,28266,48527
07-02-2020,686,5073,1173,8264,14715,33786,49926
07-03-2020,686,5073,1173,8264,14715,33786,49926
07-04-2020,686,5331,1185,8610,15520,42854,50908
07-05-2020,690,5885,1203,9156,16428,45122,53165
07-06-2020,741,6131,1224,9403,16549,47054,53855
07-07-2020,788,6432,1232,9655,17266,50916,54676
07-08-2020,828,6658,1272,9939,18791,51450,56373
07-09-2020,860,6931,1290,10240,19503,52641,57627
07-10-2020,894,7224,1303,10441,20271,53836,59165
07-11-2020,942,7421,1316,10645,20762,55175,60439
07-12-2020,978,7598,1319,10883,21158,58023,61958
07-13-2020,1029,7812,1370,11327,21312,63977,63829
07-14-2020,1049,7883,1376,11327,21607,64148,65420
07-15-2020,1061,8002,1389,11486,22260,64247,70292
07-16-2020,1061,8002,1389,11486,22260,64247,70292
07-17-2020,1094,8313,1409,11708,22873,65009,88103
07-18-2020,1174,8399,1460,11836,24588,65436,91383
07-19-2020,1201,8688,1472,11836,25006,65689,92037
07-20-2020,1254,9061,1481,11912,25367,66021,92934
07-21-2020,1275,9381,1485,12023,25582,66425,94297
07-22-2020,1328,9585,1498,12023,25713,66802,96226
07-23-2020,1361,9818,1533,12023,26607,68439,100002
07-24-2020,1409,9899,1548,12139,26869,81241,103491
07-25-2020,1435,9901,1559,12253,27017,81250,104019
07-26-2020,1435,9901,1559,12253,27017,81250,104019
07-27-2020,1449,9976,1566,12253,27119,81260,107403
07-28-2020,1482,10023,1613,12377,27196,81265,108480
07-29-2020,1543,10080,1658,12377,27724,82512,108989
07-30-2020,1583,10097,1693,12377,28317,82520,109544
07-31-2020,1639,10116,1719,12494,28450,82526,110233
08-01-2020,1639,10116,1719,12494,28450,82526,110233
08-02-2020,1642,10136,1758,12589,28978,82552,110922
08-03-2020,1731,10213,1801,12678,29150,82575,111249
08-04-2020,1731,10213,1801,12678,29150,82575,111249
08-05-2020,1804,10227,1820,12732,29255,85180,113268
08-06-2020,1836,10258,1846,12833,30057,85232,113996
08-07-2020,1854,10267,1861,12833,30681,86085,114518
08-08-2020,1883,10304,1887,12878,31447,86240,114965
08-09-2020,1883,10326,1902,12914,31542,86266,115415
08-10-2020,1883,10372,1914,12969,31612,86273,115741
08-11-2020,1915,10417,1955,12995,31691,86289,115984
08-12-2020,1971,10458,2002,13020,32248,86389,117972
08-13-2020,1971,10458,2002,13020,32248,86389,117972
08-14-2020,1981,10461,2050,13078,32317,86404,118924
08-15-2020,1989,10610,2103,13100,32373,86424,119025
08-16-2020,2002,10956,2133,13276,32450,88698,119572
08-17-2020,2002,10956,2133,13276,32450,88698,119572
08-18-2020,2002,11153,2172,13430,32522,88861,119849
08-19-2020,2043,11241,2194,13612,32647,90150,120241
08-20-2020,2057,11273,2224,13836,32711,90210,120493
08-21-2020,2066,11294,2235,14101,32893,90233,120757
08-22-2020,2068,11310,2257,14372,33300,91134,120876
08-23-2020,2070,11383,2276,14621,33403,91161,121915
08-24-2020,2070,11383,2276,14621,33403,91161,121915
08-25-2020,2071,11460,2314,14684,33426,92289,122181
08-26-2020,2075,11510,2351,14792,33449,92301,122461
08-27-2020,2090,11614,2389,14884,33640,92393,122551
08-28-2020,2102,11636,2412,14923,33709,92421,122734
08-29-2020,2115,11682,2435,14936,33888,92449,122835
08-30-2020,2115,11701,2465,14967,33926,92471,122902
08-31-2020,2115,11756,2466,14975,33950,92481,122939
09-01-2020,2122,11794,2503,15000,33978,92499,123074
09-02-2020,2150,11861,2557,15056,34171,92525,123605
09-03-2020,2154,11861,2588,15094,34225,92539,123807
