Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Port Quarantine,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Unknown,Wakayama,Yamagata,Yamaguchi,Yamanashi
Country/Region,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
07-18-2020,485,16,26,967,77,114,848,82,151,136,167,1141,681,186,269,0,28,89,1559,71,46,395,46,100,17,76,17,100,83,59,28,141,1873,219,47,1192,103,24,84,87,4,6909,3,206,8,70,70,37,74
07-19-2020,485,16,26,967,77,114,848,82,151,136,167,1141,681,186,269,0,28,89,1559,71,46,395,46,100,17,76,17,100,83,59,28,141,1873,219,47,1192,103,24,84,87,4,6909,3,206,8,70,70,37,74
07-20-2020,489,16,26,1004,77,114,863,82,151,136,170,1156,697,193,270,0,28,89,1638,71,46,395,46,100,18,76,17,103,83,59,28,142,1873,219,47,1247,103,24,84,90,4,7057,3,206,8,73,71,37,74
07-21-2020,489,16,26,1014,77,114,864,82,154,136,175,1158,703,194,270,0,28,101,1614,71,46,403,46,104,18,77,17,105,84,59,30,142,1931,219,47,1292,103,24,88,90,4,7312,3,206,8,73,72,37,75
07-22-2020,491,16,26,1038,77,115,870,82,154,137,178,1164,705,197,270,0,28,108,1768,72,46,410,47,109,18,77,17,114,84,59,31,143,1958,219,47,1308,103,24,88,91,4,7513,3,206,8,75,72,37,75
07-23-2020,491,16,26,1038,77,115,877,82,156,138,179,1171,706,199,270,0,28,108,1714,72,46,422,47,113,18,77,17,122,85,59,31,143,2012,233,47,1377,104,24,89,95,4,7767,4,206,8,81,72,37,75
07-24-2020,496,16,26,1070,77,115,890,82,159,138,185,1175,725,201,270,0,28,112,1759,72,46,422,49,120,18,77,17,124,85,59,32,143,2046,233,47,1404,105,24,89,97,4,7852,4,207,8,81,72,37,75
07-25-2020,498,16,26,1086,77,115,893,82,159,138,188,1181,745,201,270,0,28,125,1787,72,46,422,49,123,18,77,16,126,85,59,32,145,2080,233,47,1497,105,24,89,97,6,7914,4,207,8,83,72,37,76
07-26-2020,505,16,26,1089,77,117,902,83,161,139,193,1188,763,204,270,0,31,125,1805,72,46,422,50,127,18,77,16,126,85,59,32,145,2080,233,47,1497,105,26,89,97,6,7966,4,207,8,86,73,37,76
