Admin2,,,,,,,,,,,,,,,,,
Province/State,Antofagasta,Araucania,Arica y Parinacota,Atacama,Aysen,Biobio,Coquimbo,Los Lagos,Los Rios,Magallanes,Maule,Metropolitana,Nuble,OHiggins,Tarapaca,Unknown,Valparaiso
Country/Region,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Chile
05-20-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22504,0
05-21-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23992,0
05-22-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25342,0
05-23-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26546,0
05-24-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28148,0
05-25-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29302,0
05-26-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30915,0
05-27-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33540,0
05-28-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36115,0
05-29-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38598,0
05-30-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40431,0
05-31-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42727,0
06-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44946,0
06-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21325,0
06-03-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21605,0
06-04-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21305,0
06-05-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99358,0
06-06-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103817,0
06-07-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108150,0
06-08-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112248,0
06-09-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117361,0
06-10-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121780,0
06-11-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126444,0
06-12-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131358,0
06-13-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137296,0
06-14-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143704,0
06-15-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148792,0
06-16-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156232,0
06-17-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181931,0
06-18-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186441,0
06-19-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191491,0
06-20-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196609,0
06-21-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200569,0
06-22-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205397,0
06-23-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210570,0
06-24-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215093,0
06-25-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219327,0
06-26-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223431,0
06-27-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228055,0
06-28-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232210,0
06-29-2020,6616,2880,1299,689,28,4523,2263,1311,585,1290,4005,190688,1970,3716,5068,138,9085
06-30-2020,6907,2922,1340,732,29,4760,2343,1338,594,1294,4182,194094,2021,3973,5193,98,9409
07-01-2020,7176,2955,1377,768,28,4976,2441,1373,606,1307,4362,196729,2078,4197,5285,108,9677
07-02-2020,7375,2983,1408,790,29,5196,2507,1415,614,1326,4504,199125,2136,4447,5380,109,9903
07-03-2020,7629,3010,1447,822,30,5395,2568,1463,618,1340,4658,201801,2165,4675,5479,10134,109
07-04-2020,7861,3037,1497,879,32,5603,2656,1496,633,1355,4817,204387,2200,4921,5565,10403,109
07-05-2020,8113,3064,1530,920,35,5829,2737,1524,645,1371,4966,206451,2232,5183,5657,10673,109
07-06-2020,8298,3081,1571,959,35,5977,2785,1547,650,1376,5077,208652,2246,5413,5724,10878,109
07-07-2020,8526,3115,1621,992,37,6172,2878,1584,659,1396,5226,210992,2276,5679,5835,11154,109
07-08-2020,8782,3147,1673,1015,38,6386,2967,1613,674,1416,5363,213021,2300,5913,5937,11387,109
07-09-2020,9008,3185,1706,1036,40,6593,3042,1653,678,1426,5496,214856,2335,6156,6026,71,11615
07-10-2020,9241,3216,1753,1084,43,6762,3140,1687,689,1434,5615,216627,2376,6377,6085,70,11854
07-11-2020,9494,3250,1801,1126,45,6930,3248,1738,694,1437,5743,218322,2404,6540,6170,106,12066
07-12-2020,9713,3270,1862,1147,46,7059,3321,1823,702,1448,5880,219896,2437,6722,6254,67,12255
07-13-2020,9924,3306,1920,1175,46,7185,3383,1869,709,1451,5988,221418,2465,6887,6325,73,12432
07-14-2020,10157,3338,1965,1208,46,7327,3441,1909,717,1458,6083,222906,2503,7061,6400,66,12635
07-15-2020,10392,3368,2025,1263,46,7481,3508,1960,718,1467,6221,224418,2536,7267,6500,71,12844
07-16-2020,10662,3404,2093,1302,46,7632,3612,2029,716,1468,6371,226151,2575,7468,6604,71,13097
07-17-2020,10844,3402,2141,1347,46,7765,3682,2062,722,1466,6446,226678,2619,7602,6660,72,13260
07-18-2020,11068,3445,2199,1396,49,7884,3772,2122,728,1483,6560,227993,2661,7776,6786,68,13459
07-19-2020,11281,3474,2260,1437,49,7998,3875,2181,733,1490,6658,229130,2701,7916,6867,71,13673
07-20-2020,11281,3474,2260,1437,49,7998,3875,2181,733,1490,6658,229130,2701,7916,6867,71,13673
07-21-2020,11692,3538,2425,1535,52,8285,4092,2306,751,1503,6863,231618,2805,8209,7026,71,14045
07-22-2020,11692,3538,2425,1535,52,8285,4092,2306,751,1503,6863,231618,2805,8209,7026,71,14045
07-23-2020,12025,3567,2583,1623,58,8577,4316,2415,758,1529,7051,233892,2913,8493,7204,46,14381
07-24-2020,12194,3577,2671,1659,59,8695,4409,2478,766,1539,7160,234989,2953,8682,7292,45,14528
07-25-2020,12372,3593,2791,1707,61,8826,4536,2578,774,1544,7275,236152,3003,8817,7357,45,14738
07-26-2020,12517,3612,2879,1749,62,8941,4639,2649,783,1555,7379,237038,3037,8935,7407,45,14868
07-27-2020,12681,3632,2958,1793,63,9093,4743,2693,793,1564,7489,237823,3066,9061,7450,45,15007
07-28-2020,12844,3655,3075,1838,64,9264,4853,2766,812,1568,7623,238880,3095,9192,7524,45,15234
07-29-2020,13013,3678,3160,1873,70,9415,4994,2846,824,1570,7725,239876,3147,9314,7598,44,15410
07-30-2020,13141,3708,3270,1915,70,9594,5119,2921,829,1599,7814,240722,3180,9426,7666,74,15580
07-31-2020,13255,3727,3371,1973,70,9743,5222,2974,829,1608,7902,241385,3214,9521,7730,72,15731
08-01-2020,13399,3753,3496,2053,70,9896,5337,3043,839,1617,8004,242313,3245,9648,7836,62,15896
08-02-2020,13538,3782,3606,2125,71,10052,5439,3142,843,1623,8103,242998,3264,9764,7926,62,16073
08-03-2020,13669,3812,3687,2191,71,10181,5530,3217,849,1628,8193,243591,3284,9843,7983,61,16186
08-04-2020,13826,3851,3831,2287,71,10368,5685,3305,852,1650,8308,244473,3324,9975,8084,61,16379
08-05-2020,13959,3892,3930,2382,71,10557,5806,3391,856,1664,8413,245229,3358,10047,8163,62,16511
08-06-2020,14073,3925,4062,2462,74,10721,5905,3478,860,1673,8553,245901,3375,10120,8257,62,16667
08-07-2020,14188,3980,4152,2571,74,10893,6030,3644,868,1685,8635,246638,3391,10204,8346,62,16807
08-08-2020,14312,4004,4237,2680,75,11076,6155,3751,882,1703,8724,247376,3430,10289,8414,62,16963
08-09-2020,14424,4036,4318,2736,77,11207,6292,3841,884,1734,8819,247979,3457,10366,8500,61,17095
08-10-2020,14527,4057,4393,2843,77,11337,6368,3905,887,1752,8877,248524,3473,10421,8624,61,17216
08-11-2020,14674,4105,4519,2962,80,11503,6532,4029,892,1771,8970,249276,3502,10524,8716,62,17424
08-12-2020,14811,4139,4613,3077,82,11644,6636,4152,903,1788,9050,249956,3535,10621,8789,61,17562
08-13-2020,14931,4172,4666,3195,82,11784,6750,4242,906,1815,9065,250618,3562,10707,8869,61,17706
08-14-2020,15053,4216,4754,3313,84,11926,6864,4368,911,1840,9148,251316,3580,10801,8955,62,17846
08-15-2020,15215,4248,4829,3424,85,12057,6975,4504,921,1865,9239,252008,3600,10896,9020,61,18004
08-16-2020,15363,4280,4911,3539,85,12220,7128,4610,931,1895,9320,252614,3614,11020,9089,63,18146
08-17-2020,15475,4302,4986,3643,85,12374,7238,4711,934,1927,9404,253059,3646,11097,9141,63,18300
