Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Cherkasy Oblast,Chernihiv Oblast,Chernivtsi Oblast,Crimea Republic*,Dnipropetrovsk Oblast,Donetsk Oblast,Ivano-Frankivsk Oblast,Kharkiv Oblast,Kherson Oblast,Khmelnytskyi Oblast,Kiev,Kiev Oblast,Kirovohrad Oblast,Luhansk Oblast,Lviv Oblast,Mykolaiv Oblast,Odessa Oblast,Poltava Oblast,Rivne Oblast,Sevastopol*,Sumy Oblast,Ternopil Oblast,Vinnytsia Oblast,Volyn Oblast,Zakarpattia Oblast,Zaporizhia Oblast,Zhytomyr Oblast
Country/Region,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine
06-01-2020,308,63,945,229,265,89,818,408,161,234,654,398,400,40,420,154,225,249,887,134,141,912,587,259,405,252,416
06-02-2020,316,63,980,247,266,94,843,448,161,245,718,399,403,40,438,173,225,249,960,136,147,921,619,264,410,253,443
06-03-2020,320,63,1017,259,267,97,862,467,161,259,756,418,403,40,457,182,231,253,993,139,147,948,657,278,434,258,472
06-04-2020,327,63,1051,285,349,109,887,471,161,276,849,472,409,41,490,182,290,253,1019,141,147,958,677,294,524,269,474
06-05-2020,334,76,1079,298,397,119,893,474,165,306,876,472,413,43,492,188,329,255,1039,145,155,963,697,294,551,280,482
06-06-2020,336,77,1108,308,484,121,916,491,165,321,888,533,416,43,506,195,368,255,1082,145,158,977,721,297,568,286,500
06-07-2020,343,81,1124,314,532,121,947,545,172,337,888,558,416,43,521,195,372,255,1088,145,158,984,721,299,568,286,500
06-08-2020,346,81,1133,317,552,121,947,573,172,337,888,577,422,43,524,195,376,255,1089,145,158,987,728,299,606,286,500
06-09-2020,346,81,1150,330,629,121,992,597,172,338,925,577,422,43,531,195,376,256,1093,150,158,987,728,299,606,290,500
06-10-2020,346,81,1171,338,673,121,992,626,172,348,985,595,423,43,557,199,418,256,1115,150,159,987,767,310,628,296,501
06-11-2020,348,81,1176,350,695,122,992,657,173,355,1053,616,447,44,589,203,421,256,1164,151,159,995,808,330,634,303,520
06-12-2020,352,81,1200,357,702,122,1001,692,174,387,1132,648,453,45,598,206,422,256,1194,151,161,1007,832,378,675,322,527
06-13-2020,356,81,1215,361,721,128,1001,698,174,407,1164,711,471,46,604,212,423,257,1274,152,163,1011,851,444,682,335,547
06-14-2020,356,81,1225,362,721,128,1013,715,174,416,1164,727,476,47,618,212,423,257,1280,152,163,1020,851,449,684,335,547
06-15-2020,356,81,1243,363,721,128,1030,741,174,416,1164,771,476,47,632,212,424,257,1316,155,163,1022,862,449,686,335,547
06-16-2020,357,81,1265,367,724,128,1037,752,174,422,1164,829,487,47,639,216,426,258,1379,159,168,1024,890,460,706,336,559
06-17-2020,369,107,1328,381,726,130,1044,774,174,435,1230,867,493,49,644,217,426,259,1379,161,169,1033,915,490,745,366,574
06-18-2020,374,112,1415,391,739,140,1059,786,174,460,1286,941,497,49,661,219,481,260,1379,163,169,1036,954,526,772,375,583
06-19-2020,388,112,1470,392,758,142,1064,812,174,474,1332,994,502,52,663,264,510,262,1467,163,178,1050,990,548,833,385,609
06-20-2020,392,112,1534,403,776,145,1071,837,174,477,1391,1053,508,53,668,265,551,262,1500,165,178,1054,991,548,842,391,633
06-21-2020,393,112,1563,403,776,145,1071,854,175,492,1391,1065,508,53,668,265,551,262,1505,166,182,1063,1001,548,842,391,633
06-22-2020,393,131,1574,403,776,145,1071,872,175,492,1391,1100,508,53,674,265,551,262,1526,166,182,1073,1014,548,842,391,633
06-23-2020,408,144,1642,416,780,145,1071,889,175,493,1415,1141,521,53,696,269,562,263,1538,166,184,1079,1037,550,845,393,663
06-24-2020,426,145,1715,432,852,145,1083,932,175,503,1440,1147,523,54,700,271,569,263,1582,168,186,1094,1057,605,864,397,681
06-25-2020,431,145,1763,437,893,150,1083,977,175,515,1473,1185,524,54,712,273,569,267,1623,170,195,1102,1091,605,864,401,688
06-26-2020,439,145,1800,457,903,159,1091,1021,175,526,1489,1236,525,55,725,278,637,268,1682,171,203,1109,1111,681,917,405,719
06-27-2020,451,145,1853,476,913,163,1096,1030,176,536,1490,1279,529,58,737,281,725,268,1705,173,209,1124,1158,691,926,417,741
06-28-2020,454,145,1876,477,913,163,1096,1065,176,541,1547,1288,531,58,741,281,725,268,1738,174,219,1131,1179,693,943,417,746
06-29-2020,454,145,1889,478,913,163,1096,1070,176,543,1552,1318,535,58,741,281,736,268,1752,174,219,1139,1179,693,943,418,746
06-30-2020,458,145,1900,500,913,163,1098,1086,176,544,1563,1332,536,58,747,281,736,268,1769,177,222,1140,1179,694,943,418,746
07-01-2020,474,145,1916,517,926,166,1098,1104,176,548,1598,1356,541,59,800,283,737,270,1815,179,230,1160,1220,717,953,425,831
07-02-2020,477,145,1970,517,935,167,1108,1137,179,558,1642,1398,551,59,856,288,761,273,1875,185,237,1177,1250,744,975,442,849
07-03-2020,505,145,2048,553,935,170,1108,1167,179,572,1733,1403,553,60,873,288,787,274,1929,185,240,1214,1266,783,987,442,897
07-04-2020,517,145,2120,565,959,173,1129,1188,181,589,1769,1503,559,61,890,293,822,274,2016,187,247,1230,1296,801,999,444,950
07-05-2020,517,145,2159,568,975,173,1144,1198,182,593,1800,1510,560,64,890,309,822,274,2050,187,248,1252,1315,801,1001,444,950
07-06-2020,517,145,2218,568,977,173,1173,1224,182,594,1809,1512,561,64,965,310,827,274,2079,191,248,1275,1334,847,1001,444,950
07-07-2020,519,145,2299,581,981,173,1185,1237,184,602,1848,1522,566,64,971,318,832,277,2195,196,258,1301,1366,873,1029,454,994
07-08-2020,529,196,2386,596,1000,203,1204,1261,184,603,1900,1623,570,69,974,330,863,278,2272,197,264,1327,1411,1030,1117,464,1061
07-09-2020,552,224,2473,624,1002,233,1213,1280,184,616,1962,1650,574,70,990,346,863,281,2363,198,271,1343,1443,1178,1117,478,1078
