Admin2,,,
Province/State,Faroe Islands,Greenland,
Country/Region,Denmark,Denmark,Denmark
03-23-2020,23,0,1
03-24-2020,33,2,1
03-25-2020,38,2,1
03-26-2020,47,2,1
03-27-2020,54,2,1
03-28-2020,54,2,1
03-29-2020,70,2,1
03-30-2020,70,2,1
03-31-2020,74,2,1
04-01-2020,75,2,894
04-02-2020,81,2,1089
04-03-2020,91,3,1193
04-04-2020,93,3,1283
04-05-2020,99,3,1327
04-06-2020,107,4,1378
04-07-2020,120,10,1491
04-08-2020,131,11,1621
04-09-2020,136,11,1736
04-10-2020,145,11,1773
04-11-2020,145,11,1955
04-12-2020,157,11,2123
04-13-2020,157,11,2235
04-14-2020,163,11,2515
04-15-2020,166,11,2748
04-16-2020,169,11,3023
04-17-2020,171,11,3389
04-18-2020,173,11,3847
04-19-2020,176,11,4141
04-20-2020,176,11,4312
04-21-2020,178,11,4700
04-22-2020,178,11,5087
04-23-2020,178,11,5384
04-24-2020,178,11,5526
04-25-2020,178,11,5669
04-26-2020,178,11,5805
04-27-2020,178,11,5959
04-28-2020,181,11,6121
04-29-2020,181,11,6366
04-30-2020,184,11,6546
05-01-2020,184,11,6729
05-02-2020,184,11,6889
05-03-2020,185,11,6987
05-04-2020,185,11,7088
05-05-2020,185,11,7296
05-06-2020,185,11,7493
05-07-2020,185,11,7711
05-08-2020,187,11,7927
05-09-2020,187,11,8093
05-10-2020,187,11,8217
05-11-2020,187,11,8328
05-12-2020,187,11,8580
05-13-2020,187,11,8663
05-14-2020,187,11,8805
05-15-2020,187,11,8959
05-16-2020,187,11,9107
05-17-2020,187,11,9227
05-18-2020,187,11,9301
05-19-2020,187,11,9416
05-20-2020,187,11,9536
05-21-2020,187,11,9643
05-22-2020,187,11,9764
05-23-2020,187,11,9836
05-24-2020,187,11,9900
05-25-2020,187,11,9964
05-26-2020,187,11,10044
05-27-2020,187,11,10106
05-28-2020,187,11,10180
05-29-2020,187,11,10240
05-30-2020,187,11,10327
05-31-2020,187,11,10362
06-01-2020,187,11,10412
06-02-2020,187,11,10489
06-03-2020,187,11,10552
06-04-2020,187,13,10620
06-05-2020,187,13,10653
06-06-2020,187,13,10721
06-07-2020,187,13,10755
06-08-2020,187,13,10792
06-09-2020,187,13,10849
06-10-2020,187,13,10904
06-11-2020,187,13,10955
06-12-2020,187,13,10993
06-13-2020,187,13,11035
06-14-2020,187,13,11068
06-15-2020,187,13,11090
06-16-2020,187,13,11125
06-17-2020,187,13,11185
06-18-2020,187,13,11242
06-19-2020,187,13,11282
06-20-2020,187,13,11282
06-21-2020,187,13,11282
06-22-2020,187,13,11347
06-23-2020,187,13,11393
06-24-2020,187,13,11422
06-25-2020,187,13,11460
06-26-2020,187,13,11508
06-27-2020,187,13,11508
06-28-2020,187,13,11508
06-29-2020,187,13,11612
06-30-2020,187,13,11649
07-01-2020,187,13,11693
07-02-2020,187,13,11769
07-03-2020,187,13,11817
07-04-2020,187,13,11817
07-05-2020,187,13,11817
07-06-2020,187,13,11935
07-07-2020,188,13,11983
07-08-2020,188,13,12001
07-09-2020,188,13,12045
07-10-2020,188,13,12077
07-11-2020,188,13,12077
07-12-2020,188,13,12077
07-13-2020,188,13,12130
07-14-2020,188,13,12160
07-15-2020,188,13,12182
07-16-2020,188,13,12195
07-17-2020,188,13,12209
07-18-2020,188,13,12209
07-19-2020,188,13,12209
07-20-2020,188,13,12251
07-21-2020,188,13,12261
07-22-2020,188,13,12274
07-23-2020,188,13,12299
07-24-2020,188,13,12340
07-25-2020,188,13,12340
07-26-2020,188,13,12340
07-27-2020,188,13,12417
07-28-2020,188,13,12451
07-29-2020,188,13,12485
07-30-2020,188,13,12526
07-31-2020,189,13,12578
08-01-2020,189,13,12578
08-02-2020,192,13,12578
08-03-2020,192,13,12682
08-04-2020,192,13,12715
08-05-2020,192,13,12753
08-06-2020,192,14,12787
08-07-2020,192,14,12840
08-08-2020,193,14,12840
08-09-2020,215,14,12840
08-10-2020,215,14,12925
08-11-2020,225,14,12988
08-12-2020,225,14,13066
08-13-2020,225,14,13131
08-14-2020,225,14,13216
08-15-2020,225,14,13275
08-16-2020,225,14,13340
08-17-2020,229,14,13417
08-18-2020,235,14,13529
08-19-2020,256,14,13651
08-20-2020,274,14,13769
08-21-2020,300,14,13944
08-22-2020,300,14,13944
08-23-2020,300,14,14180
08-24-2020,337,14,14310
08-25-2020,344,14,14465
08-26-2020,357,14,14603
08-27-2020,358,14,14763
08-28-2020,361,14,14877
08-29-2020,362,14,14989
08-30-2020,362,14,15116
08-31-2020,374,14,15205
09-01-2020,374,14,15300
09-02-2020,374,14,15413
09-03-2020,379,14,15499
09-04-2020,379,14,15586
09-05-2020,379,14,15671
09-06-2020,379,14,15760
09-07-2020,409,14,15833
09-08-2020,409,14,15907
09-09-2020,410,14,15990
09-10-2020,410,14,16069
09-11-2020,410,14,16139
09-12-2020,410,14,16247
09-13-2020,410,14,16333
09-14-2020,412,14,16437
09-15-2020,412,14,16557
09-16-2020,412,14,16557
09-17-2020,412,14,16918
09-18-2020,412,14,17110
09-19-2020,412,14,17316
09-20-2020,412,14,17514
09-21-2020,413,14,17738
09-22-2020,414,14,18035
09-23-2020,416,14,18359
09-24-2020,416,14,18646
09-25-2020,417,14,19010
09-26-2020,417,14,19350
09-27-2020,423,14,19650
09-28-2020,423,14,19942
09-29-2020,428,14,20320
09-30-2020,429,14,20754
10-01-2020,429,14,21309
10-02-2020,432,14,21824
10-03-2020,432,14,22297
10-04-2020,435,14,22716
10-05-2020,441,14,23122
10-06-2020,452,14,23655
10-07-2020,452,14,24240
10-08-2020,456,14,24899
10-09-2020,459,14,25502
10-10-2020,461,14,25987
10-11-2020,461,14,26380
10-12-2020,463,14,26741
10-13-2020,465,14,27225
10-14-2020,467,14,27680
10-15-2020,471,14,28118
10-16-2020,471,14,28551
10-17-2020,472,14,28917
10-18-2020,472,14,29255
10-19-2020,472,14,29562
10-20-2020,472,16,29998
10-21-2020,473,16,30432
10-22-2020,473,16,30877
10-23-2020,473,16,31295
10-24-2020,473,16,31701
10-25-2020,478,16,31985
10-26-2020,478,16,32237
10-27-2020,478,16,32697
10-28-2020,478,16,33126
10-29-2020,479,16,33601
10-30-2020,480,16,34052
10-31-2020,481,16,34523
11-01-2020,490,16,34959
11-02-2020,490,16,35411
11-03-2020,490,16,36111
11-04-2020,490,16,36892
11-05-2020,490,17,37756
11-06-2020,492,17,38627
11-07-2020,493,17,39490
11-08-2020,493,17,40305
11-09-2020,493,17,41232
11-10-2020,493,17,42249
11-11-2020,494,17,43483
11-12-2020,494,17,44693
11-13-2020,494,17,45705
11-14-2020,494,17,46774
11-15-2020,495,17,47747
11-16-2020,495,17,48696
11-17-2020,495,17,49961
11-18-2020,495,17,51217
11-19-2020,495,18,52445
11-20-2020,495,18,53470
11-21-2020,495,18,54436
11-22-2020,497,18,55274
11-23-2020,497,18,56032
11-24-2020,498,18,57075
11-25-2020,498,18,58148
11-26-2020,498,18,59250
11-27-2020,498,18,60312
11-28-2020,498,18,61461
11-29-2020,498,18,62514
11-30-2020,498,18,63515
12-01-2020,500,18,64757
12-02-2020,500,18,66086
12-03-2020,500,18,67416
12-04-2020,500,18,68632
12-05-2020,500,18,69869
12-06-2020,501,18,70876
12-07-2020,501,18,71882
12-08-2020,502,18,73052
12-09-2020,503,18,74367
12-10-2020,503,18,75664
12-11-2020,503,18,76927
12-12-2020,506,18,78236
12-13-2020,506,18,79394
12-14-2020,506,18,80564
12-15-2020,506,18,82099
12-16-2020,512,18,83801
12-17-2020,512,18,85662
12-18-2020,516,18,87560
12-19-2020,516,19,89570
12-20-2020,518,19,91263
12-21-2020,518,19,93214
12-22-2020,524,19,95933
12-23-2020,526,19,99025
12-24-2020,526,19,102184
12-25-2020,526,19,105425
12-26-2020,530,19,108659
12-27-2020,531,19,111718
12-28-2020,535,19,114841
12-29-2020,535,19,118727
12-30-2020,541,20,122954
