Admin2,,,,,,,,
Province/State,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
Country/Region,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
03-23-2020,32,669,5,319,134,28,355,140
03-24-2020,39,818,6,397,170,28,411,175
03-25-2020,39,1029,6,443,170,36,466,175
03-26-2020,53,1219,12,493,235,47,520,231
03-27-2020,62,1405,12,555,257,47,574,231
03-28-2020,71,1617,15,625,287,62,685,278
03-29-2020,77,1791,15,656,299,66,769,311
03-30-2020,78,2032,15,689,305,66,821,355
03-31-2020,80,2032,17,743,337,69,917,364
04-01-2020,84,2182,19,781,367,69,968,392
04-02-2020,87,2298,21,835,367,72,1036,400
04-03-2020,91,2389,22,873,396,74,1085,400
04-04-2020,93,2493,26,900,407,80,1115,436
04-05-2020,96,2580,27,907,407,82,1135,453
04-06-2020,96,2637,28,921,411,86,1158,460
04-07-2020,96,2686,28,934,411,89,1191,460
04-08-2020,99,2734,28,943,415,98,1212,481
04-09-2020,100,2773,28,953,420,111,1228,495
04-10-2020,103,2822,28,965,428,122,1241,506
04-11-2020,103,2857,28,974,429,133,1265,514
04-12-2020,103,2857,28,983,429,133,1268,514
04-13-2020,102,2863,28,987,429,144,1281,517
04-14-2020,103,2870,28,998,433,165,1291,527
04-15-2020,103,2886,28,999,433,165,1299,527
04-16-2020,103,2897,28,1001,433,169,1299,532
04-17-2020,103,2926,28,1007,435,180,1302,541
04-18-2020,103,2926,28,1015,435,180,1319,541
04-19-2020,103,2926,28,1015,435,180,1319,541
04-20-2020,103,2926,28,1015,435,180,1319,541
04-21-2020,103,2926,28,1015,435,180,1319,541
04-22-2020,103,2926,28,1015,435,180,1319,541
04-23-2020,104,2976,27,1026,438,207,1337,546
04-24-2020,105,2982,28,1026,438,207,1343,548
04-25-2020,106,2994,28,1026,438,207,1346,549
04-26-2020,106,3002,28,1030,438,212,1349,549
04-27-2020,106,3004,28,1033,438,214,1349,549
04-28-2020,106,3016,28,1034,438,218,1354,550
04-29-2020,106,3016,28,1033,438,219,1361,551
04-30-2020,106,3025,28,1033,438,221,1364,551
05-01-2020,106,3030,27,1034,438,221,1371,551
05-02-2020,106,3035,29,1035,438,221,1384,551
05-03-2020,106,3033,29,1038,438,221,1406,551
05-04-2020,107,3035,29,1043,438,221,1423,551
05-05-2020,107,3042,29,1043,438,225,1440,551
05-06-2020,107,3044,29,1045,438,226,1454,551
05-07-2020,107,3047,29,1045,439,227,1467,552
05-08-2020,107,3051,29,1045,439,227,1468,552
05-09-2020,107,3053,29,1045,439,227,1487,552
05-10-2020,107,3053,29,1045,439,227,1496,552
05-11-2020,107,3053,29,1051,439,227,1511,553
05-12-2020,107,3059,29,1052,439,227,1514,553
05-13-2020,107,3063,29,1051,439,227,1521,552
05-14-2020,107,3071,29,1054,439,227,1540,552
05-15-2020,107,3074,29,1055,439,228,1551,552
05-16-2020,107,3075,29,1055,439,228,1558,553
05-17-2020,107,3076,29,1057,439,228,1564,554
05-18-2020,107,3078,29,1057,439,228,1573,557
05-19-2020,107,3081,29,1058,439,228,1573,557
05-20-2020,107,3082,29,1058,439,228,1581,557
05-21-2020,107,3084,29,1058,439,228,1593,557
05-22-2020,107,3086,29,1060,439,228,1593,557
05-23-2020,107,3087,29,1061,439,228,1603,560
05-24-2020,107,3090,29,1056,439,228,1605,560
05-25-2020,107,3092,29,1057,439,228,1610,564
05-26-2020,107,3089,29,1058,440,228,1618,570
05-27-2020,107,3090,29,1058,440,228,1628,570
05-28-2020,107,3092,29,1058,440,228,1634,577
05-29-2020,107,3092,29,1058,440,228,1645,585
05-30-2020,107,3095,29,1058,440,228,1649,586
05-31-2020,107,3098,29,1058,440,228,1653,589
06-01-2020,107,3104,29,1059,440,228,1663,591
06-02-2020,107,3104,29,1059,440,228,1670,592
06-03-2020,107,3106,29,1060,440,228,1678,592
06-04-2020,107,3110,29,1060,440,228,1681,592
06-05-2020,107,3110,29,1061,440,228,1681,596
06-06-2020,108,3109,29,1061,440,228,1685,599
06-07-2020,108,3112,29,1062,440,228,1687,599
06-08-2020,108,3114,29,1062,440,228,1687,599
06-09-2020,108,3117,29,1062,440,228,1691,599
06-10-2020,108,3117,29,1063,440,228,1699,601
06-11-2020,108,3115,29,1064,440,228,1703,602
06-12-2020,108,3119,29,1065,440,228,1703,602
06-13-2020,108,3128,29,1065,440,228,1720,602
06-14-2020,108,3131,29,1065,440,228,1732,602
06-15-2020,108,3134,29,1065,440,228,1741,602
06-16-2020,108,3135,29,1066,440,228,1762,602
06-17-2020,108,3137,29,1066,440,228,1780,603
06-18-2020,108,3143,29,1066,440,228,1792,603
06-19-2020,108,3144,29,1066,440,228,1792,604
06-20-2020,108,3149,29,1066,440,228,1836,605
06-21-2020,108,3151,29,1066,440,228,1847,605
06-22-2020,108,3150,29,1066,440,228,1864,607
06-23-2020,108,3159,29,1066,440,228,1884,607
06-24-2020,108,3162,29,1066,440,228,1917,608
06-25-2020,108,3168,29,1067,440,228,1947,608
06-26-2020,108,3174,29,1067,440,228,1947,608
06-27-2020,108,3177,29,1067,440,228,2028,609
06-28-2020,108,3184,29,1067,440,228,2099,609
06-29-2020,108,3189,29,1067,443,228,2159,611
06-30-2020,108,3203,29,1067,443,228,2231,611
07-01-2020,108,3211,30,1067,443,228,2303,611
07-02-2020,108,3211,30,1067,443,228,2368,611
07-03-2020,108,3405,30,1067,443,228,2368,611
07-04-2020,108,3419,30,1067,443,228,2536,612
07-05-2020,108,3429,30,1067,443,228,2660,618
07-06-2020,108,3433,30,1068,443,228,2824,621
07-07-2020,111,3440,30,1068,443,228,2942,624
07-08-2020,112,3453,30,1068,443,228,3098,624
07-09-2020,113,3467,31,1068,443,228,3397,627
07-10-2020,113,3474,31,1070,443,228,3560,634
07-11-2020,113,3478,31,1070,443,228,3799,635
07-12-2020,113,3492,31,1071,443,228,3967,635
07-13-2020,113,3505,31,1071,443,228,4224,636
07-14-2020,113,3517,31,1071,443,228,4448,636
07-15-2020,113,3527,31,1071,444,228,4750,646
07-16-2020,113,3535,31,1071,444,228,5165,646
07-17-2020,113,3550,31,1071,444,228,5353,651
07-18-2020,113,3568,31,1071,444,228,5696,651
07-19-2020,113,3588,31,1072,444,228,5942,651
07-20-2020,113,3599,31,1072,444,229,6289,651
07-21-2020,113,3614,31,1073,444,229,6739,651
07-22-2020,113,3633,31,1074,446,229,7125,654
07-23-2020,113,3640,31,1076,447,229,7405,654
07-24-2020,113,3654,31,1076,447,229,7744,656
07-25-2020,113,3668,31,1076,447,229,8181,658
07-26-2020,113,3685,31,1076,447,229,8696,658
07-27-2020,113,3699,31,1076,447,229,9049,659
07-28-2020,113,3718,31,1078,448,229,9304,661
07-29-2020,113,3736,31,1082,448,229,9998,661
07-30-2020,113,3756,31,1083,449,229,10577,665
07-31-2020,113,3773,33,1084,451,229,10931,666
08-01-2020,113,3784,33,1085,453,229,11557,641
08-02-2020,113,3797,33,1085,455,229,11937,669
08-03-2020,113,3809,33,1085,457,229,12335,669
08-04-2020,113,3820,33,1088,457,229,13035,670
08-05-2020,113,3832,33,1088,456,229,13469,670
08-06-2020,113,3842,33,1087,459,229,13867,642
08-07-2020,113,3851,33,1088,459,229,14283,642
08-08-2020,113,3861,33,1088,459,229,14659,642
08-09-2020,113,3875,33,1089,459,229,14957,642
08-10-2020,113,3897,33,1089,459,229,15251,642
08-11-2020,113,3915,33,1089,459,230,15646,642
08-12-2020,113,3927,33,1089,459,230,15863,644
08-13-2020,113,3936,33,1091,460,230,16234,645
08-14-2020,113,3945,33,1091,460,230,16517,646
08-15-2020,113,3950,33,1091,460,230,16764,646
08-16-2020,113,3957,33,1091,461,230,17027,646
08-17-2020,113,3959,33,1091,462,230,17238,647
08-18-2020,113,3966,33,1092,462,230,17446,647
08-19-2020,113,3971,33,1093,462,230,17683,651
08-20-2020,113,3972,33,1094,462,230,17852,651
08-21-2020,113,3981,33,1103,462,230,18029,651
08-22-2020,113,3985,33,1105,462,230,18231,652
08-23-2020,113,3988,33,1106,463,230,18330,652
08-24-2020,113,3991,33,1106,463,230,18464,653
08-25-2020,113,3997,33,1107,463,230,18608,653
08-26-2020,113,4006,33,1110,463,230,18714,653
08-27-2020,113,4019,33,1113,463,230,18822,655
08-28-2020,113,4033,33,1117,463,230,18903,655
08-29-2020,113,4040,33,1121,463,230,19015,655
08-30-2020,113,4050,33,1122,463,230,19080,655
08-31-2020,113,4063,33,1124,463,230,19138,655
09-01-2020,113,4079,33,1126,463,230,19224,655
09-02-2020,113,4091,33,1128,463,230,19336,655
09-03-2020,113,4099,33,1128,463,230,19415,655
09-04-2020,113,4104,33,1129,463,231,19479,655
09-05-2020,113,4114,33,1131,464,230,19538,655
09-06-2020,113,4118,33,1133,464,230,19574,656
09-07-2020,113,4126,33,1134,464,230,19615,658
09-08-2020,113,4135,33,1143,465,230,19688,658
09-09-2020,113,4142,33,1143,465,230,19739,659
09-10-2020,113,4152,33,1145,465,230,19767,659
09-11-2020,113,4157,33,1149,466,230,19800,659
09-12-2020,113,4166,33,1149,466,230,19835,659
09-13-2020,113,4170,33,1149,466,230,19872,659
09-14-2020,113,4177,33,1150,466,230,19911,659
09-15-2020,113,4185,33,1149,466,230,19943,659
09-16-2020,113,4190,33,1150,466,230,19970,661
09-17-2020,113,4196,33,1150,466,230,20012,661
09-18-2020,113,4198,33,1150,466,230,20034,661
09-19-2020,113,4200,33,1152,466,230,20042,662
09-20-2020,113,4204,33,1153,466,230,20051,662
09-21-2020,113,4206,33,1153,466,230,20076,665
09-22-2020,113,4212,33,1153,466,230,20100,665
09-23-2020,113,4213,33,1153,468,230,20105,665
09-24-2020,113,4217,33,1153,468,230,20118,668
09-25-2020,113,4218,33,1156,468,230,20130,668
09-26-2020,113,4218,33,1157,468,230,20145,676
09-27-2020,113,4218,33,1157,468,230,20149,676
09-28-2020,113,4220,33,1157,468,230,20158,676
09-29-2020,113,4224,33,1157,468,230,20169,684
09-30-2020,113,4227,33,1157,468,230,20183,685
10-01-2020,113,4231,33,1160,468,230,20189,685
10-02-2020,113,4232,33,1160,470,230,20197,686
