Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,Distrito Federal,Espirito Santo,Goias,Maranhao,Mato Grosso,Mato Grosso do Sul,Minas Gerais,Para,Paraiba,Parana,Pernambuco,Piaui,Rio Grande do Norte,Rio Grande do Sul,Rio de Janeiro,Rondonia,Roraima,Santa Catarina,Sao Paulo,Sergipe,Tocantins,Unknown
Country/Region,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil
05-20-2020,2817,4437,4549,23704,11197,30560,5161,8092,1978,15114,1054,693,5286,18135,5838,2616,22560,2637,3796,4973,30372,2499,2067,5499,69859,4277,1809,0
05-21-2020,3103,4916,5188,25367,11941,31413,5542,8878,2114,16058,1172,746,5596,19756,6238,2810,23911,2852,4060,5473,32089,2659,2146,5610,73739,4734,1976,0
05-22-2020,3343,5302,5655,27038,12557,34573,5948,9520,2304,17212,1220,805,5995,21469,6882,2939,25760,3074,4251,5918,33589,2774,2306,6458,76871,4922,2205,0
05-23-2020,3867,5630,6091,28802,13000,35122,6251,9918,2377,18767,1352,858,6338,22697,7508,3099,26786,3258,4599,6336,34533,3109,2374,6607,80558,5131,2430,0
05-24-2020,4160,6214,6353,29867,13899,35595,6638,10007,2443,21191,1462,924,6668,24125,7823,3212,27759,3390,4697,6470,37912,3201,2439,6696,82161,5314,2591,0
05-25-2020,4501,6682,6584,30282,14204,36185,6930,10365,2512,22786,1500,1023,6962,26077,8016,3331,28366,3550,4759,6559,39298,3268,2514,6875,83625,5448,2696,0
05-26-2020,4781,7058,6967,31949,14566,37021,7210,10889,2671,24278,1628,1100,7516,28600,8919,3512,28854,3720,5472,6785,40024,3493,2583,7016,86017,5735,2858,0
05-27-2020,5251,7580,7619,33508,15070,37275,7761,11484,2843,26145,1839,1186,8011,31033,10209,3712,29919,3966,5630,7048,42398,3862,2682,7372,89483,5912,3023,0
05-28-2020,5600,8055,8152,36146,15963,37821,8300,12203,3090,27979,1951,1262,8686,33699,11132,3984,30713,4243,5630,8234,44886,4252,2959,8000,95865,6156,3277,0
05-29-2020,5841,8618,8469,38909,16917,38395,8722,12903,3319,30482,2103,1356,9232,36486,12011,4236,32255,4503,6463,8234,47953,4502,3098,8530,101556,6462,3611,0
05-30-2020,6072,9223,9313,40560,17626,46506,9474,13437,3585,32620,2361,1418,9630,37296,12862,4473,33427,4745,7402,9242,52420,4743,3299,8778,107142,6805,3981,0
05-31-2020,6219,10288,9602,41378,18392,48489,9780,13690,3702,34639,2429,1489,10464,37961,13162,4687,34450,4931,8051,9332,53388,4942,3474,9037,109698,6999,4176,0
06-01-2020,6326,10837,9890,41774,18898,50504,10510,14069,3906,35297,2541,1568,10670,38046,13695,4835,34900,5119,7964,9332,54530,5172,3692,9498,111296,7233,4345,0
06-02-2020,6465,11559,10511,43195,21430,53073,11256,15151,4377,36625,2709,1646,10939,41207,14859,5163,35508,5506,8233,9919,56732,5477,3850,9660,118295,7555,4483,0
06-03-2020,6679,12407,11107,44347,22451,56056,12020,16121,4570,38174,2848,1802,12010,44774,16018,5494,36463,5828,9149,10398,59240,5713,4143,10034,123483,7989,4698,0
06-04-2020,7021,13097,11551,46473,23463,59795,12923,16894,4944,40629,3194,1925,13034,48049,17579,5820,37507,6064,9282,11010,60932,6459,4483,10532,129200,8200,4881,0
06-05-2020,7284,13937,12327,47666,26419,61595,14208,18109,5373,43313,3481,1997,13995,50960,18579,6348,38511,6717,9440,11583,63066,6862,4831,10846,134565,8577,5182,0
06-06-2020,7525,14818,12773,48785,27396,63575,15850,18950,5669,45470,3662,2132,14939,53176,19787,6605,39361,7105,9449,12037,64533,7700,5238,11285,140549,8972,5505,0
06-07-2020,7983,15706,13045,49269,28250,64271,16623,19619,5813,47593,3878,2253,15703,54271,20310,6897,40242,7478,9452,12135,67756,8110,5529,11565,143073,9290,5644,0
06-08-2020,8128,15706,13294,49811,28715,65605,16629,20659,6124,49371,4100,2324,15883,56032,20951,7031,40705,7621,10888,12250,69499,8626,5768,11565,144593,9727,5807,
06-09-2020,8457,17193,13771,51234,30481,68384,18090,21964,6521,52069,4339,2455,16102,59148,22452,7314,41010,7927,11027,12802,72979,9220,6056,12192,150138,10126,6052,
06-10-2020,8746,18176,14623,52849,32685,71402,19433,23344,7159,53508,4602,2597,17501,62095,24032,7831,41935,8359,11568,13619,74373,9850,6347,12594,156316,10615,6257,
06-11-2020,9091,19200,15166,53989,33891,73879,20507,24229,7657,55680,5092,2853,18448,64126,25370,8457,42994,8823,13234,14168,75775,10547,6594,12953,162520,11056,6529,
06-12-2020,9295,20031,15683,55111,34665,75705,21396,25257,7846,57605,5363,3001,20106,66328,26556,8705,43872,9337,13501,14384,77784,11224,6712,13165,167900,11534,6744,
06-13-2020,9534,20887,16322,56026,35788,76429,21959,25932,7940,58859,5524,3235,20614,68510,27454,9233,44671,9825,13789,14627,78836,11710,6842,13296,172875,12866,6931,
06-14-2020,9642,22199,16512,56506,36401,76748,22871,26441,7944,59850,5861,3433,21381,69179,28013,9583,45261,10153,14171,14661,79572,11865,6875,13360,178202,13968,6972,
06-15-2020,9771,22962,16813,56777,37620,79462,23684,27581,10182,60592,6185,3551,21728,69224,28668,9716,45507,10357,14214,15438,80946,12180,6881,13960,181460,15675,7137,
06-16-2020,10003,23632,18024,58018,39206,81289,25380,28952,11264,62711,6388,3785,22024,71243,30128,10557,46427,10881,15212,16471,83343,13010,6935,14402,190285,16310,7309,
06-17-2020,10339,24867,18618,59547,40926,84967,27140,30441,12236,64735,7124,4164,23347,74192,31712,11085,47446,11559,15212,17128,86963,13567,7150,15015,191517,16807,7573,
06-18-2020,10664,25633,19387,60736,41577,87273,28521,31671,13304,66091,7512,4274,24906,76623,31760,11919,48626,12099,15889,17822,87317,13804,7421,15573,192628,17338,7774,
06-19-2020,10987,26906,19922,61683,43922,89863,30902,33142,14027,68500,8353,4666,26052,80072,35093,12785,49720,12567,16039,18587,93378,14353,7650,16322,211658,17808,7956,
06-20-2020,10987,26906,19922,61683,43922,89863,30902,33142,14027,68500,8353,4666,26052,80072,35093,12785,49720,12567,16039,18587,93378,14353,7650,16322,211658,17808,7956,
06-21-2020,11381,28657,21840,63410,46279,92866,33227,34858,15619,70059,9470,5237,27641,84654,36784,14501,52113,14264,19290,19348,96133,15181,8120,17582,219185,18985,8354,
06-22-2020,11539,29395,24682,63731,47086,94158,34148,35784,16536,70689,10021,5391,28918,86020,37253,15124,52494,14476,19957,19710,97572,15827,8188,17937,221973,19384,8477,
06-23-2020,11810,30248,26437,65073,49084,97528,35368,36827,17568,72021,10659,5784,29897,88636,38999,15853,52831,15269,20075,20864,100869,16498,10340,19244,229475,19883,8766,
06-24-2020,12022,31230,26919,66764,51931,99578,37254,38481,18622,73314,11443,6201,31343,91708,39912,16963,54022,16227,21774,22009,103493,17424,10803,20921,238822,20353,9098,
06-25-2020,12304,32065,27415,67267,54291,102126,38871,40246,19547,74925,12157,6523,32769,94036,40824,17821,55136,17080,22665,23060,105897,18173,11872,21951,248587,21081,9425,
06-26-2020,12644,32864,27662,68220,56422,104422,41326,41652,20863,76698,13026,6913,38891,96472,42832,18672,55804,18023,23731,24114,108497,19271,12911,22947,258508,21908,9681,
06-27-2020,12913,33521,27901,69022,65244,106628,42766,41652,21620,78115,13805,7307,40966,99313,44242,19819,57089,18665,24253,25000,108803,19271,13078,23808,265581,23319,9966,
06-28-2020,13058,34312,27985,69649,68495,107568,44905,43683,21984,78512,14687,7527,42741,100443,44679,20742,58107,19158,24456,25243,111298,19820,14341,24364,271737,24421,10228,
06-29-2020,13146,35117,28253,69893,69467,108225,47071,45097,23007,78969,15086,7676,43864,101207,45057,21326,58476,19753,111883,29721,25659,20406,14459,25056,275145,24817,10359,
06-30-2020,13253,35962,28492,70823,73307,108699,49218,46893,24381,80451,15636,7965,45001,103206,46957,22877,58858,20422,30287,26941,112611,21251,14641,26354,281380,25411,10764,
07-01-2020,13715,36819,28927,72284,76485,113017,50676,48821,25541,83256,16621,8676,47584,105853,48175,24225,59705,22059,31899,28171,115278,21462,15153,27279,289935,25915,11222,
07-02-2020,14048,37328,29153,73530,79349,115524,52281,50240,26263,86025,17727,9062,50707,108067,49536,26304,61119,23307,32897,29195,116823,21970,17583,28575,302179,26612,11454,
07-03-2020,14112,38404,29574,74537,82314,118041,53996,51689,26330,88214,18854,9388,53351,110411,50765,28166,62362,24376,33421,30371,118956,22241,18323,30261,310702,28186,11736,
07-04-2020,14487,39255,29809,75945,85485,120952,55760,52823,28494,89057,20098,9910,55958,112531,52306,30570,63457,25561,34257,31619,120440,22957,18769,31931,312530,29761,12282,
07-05-2020,14622,39935,29883,76014,87048,121464,57854,53393,28526,89714,20891,10089,58283,113811,52728,31459,65129,26079,34645,31955,121292,23479,18922,32969,320179,30217,12475,
07-06-2020,14688,40569,30004,76424,88279,122477,60383,54547,29296,90251,21496,10253,59626,114535,53151,32769,65642,26511,34984,32401,121879,23921,18948,33822,323070,30718,12640,
07-07-2020,14941,41524,30294,79167,91954,124952,62694,56698,31308,92088,22406,10687,60897,116152,54802,34308,66151,27514,35820,33800,124086,24564,19088,35342,332708,31640,13004,
07-08-2020,15167,42322,30524,80082,95536,128471,64314,58537,32664,92939,23835,11063,64035,118744,56344,35715,67604,28411,36511,35557,126329,25067,19284,36810,341365,32490,13440,
07-09-2020,15465,43191,30763,81318,98319,131000,65677,60009,33876,95323,25264,11671,66864,120731,57614,37424,68767,29745,37060,36434,128324,25402,20154,38408,349715,33416,13845,
07-10-2020,15768,43959,31080,82507,101186,133546,67297,61356,35138,96718,26396,12261,70086,122674,59118,39512,70100,31269,38265,37490,129443,26000,21220,40106,359110,34713,14509,
07-11-2020,16080,44633,31279,83230,104188,135945,68406,62236,35793,98398,27636,12969,73813,124934,60421,40797,71370,32465,38616,38720,129675,26496,21849,42026,366890,36046,14939,
07-12-2020,16190,45330,31364,83526,105763,136785,70712,62799,36244,98952,28411,13197,75851,125714,60784,42537,72470,32963,39421,39240,129684,26728,22225,43031,371997,37631,15132,
07-13-2020,16260,46296,31552,84412,106891,137206,72284,63879,36696,99830,28792,13461,76822,126509,61108,43582,72901,33359,39800,39656,132044,27050,22627,43815,374607,38221,15307,
07-14-2020,16479,47005,31885,85641,110029,139437,73654,65213,37832,101467,29279,13934,78643,128570,62462,45363,73576,34156,40341,40993,132822,27528,22968,46050,386607,39167,15723,
07-15-2020,16672,47864,32408,86944,112993,141248,75379,66352,38895,102469,30319,14631,82010,130834,63939,47124,74960,35445,40654,42239,134449,27917,23681,47976,393176,40139,16031,
07-16-2020,16865,48734,33004,88025,116373,144000,77621,68118,40201,104126,31111,15330,84470,133039,65423,49405,76091,36542,40978,45344,134573,28654,24397,49781,402048,41226,16672,
