Admin2,,,,,,,,,,,,,,,,,
Province/State,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,W.P. Kuala Lumpur,W.P. Labuan,W.P. Putrajaya,Unknown
Country/Region,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
09-21-2021,182341,127544,104757,55415,95884,58406,93352,3274,121371,188124,187131,661610,49338,183529,9933,5925,0
09-22-2021,184221,128551,106330,55728,96054,59094,94842,3371,122595,189323,188843,664024,50190,183867,9936,5955,0
09-23-2021,186134,129334,107594,56020,96229,59963,95686,3484,123647,190952,190609,666009,50854,0,184250,9944,5969
09-24-2021,187941,130242,108504,56421,96386,60561,96830,3549,124878,192225,193434,668253,51544,0,184521,9944,5999
09-25-2021,189318,130950,109674,56760,96580,61340,97958,3566,125938,193187,196146,670594,52304,0,184831,9949,6036
09-26-2021,190773,131671,110880,57122,96745,61944,98952,3646,126893,194265,199089,672152,52989,0,185101,9953,6060
09-27-2021,191999,132331,111863,57468,96855,62683,99665,3697,127686,195016,201812,673131,53680,0,185277,9953,6078
09-28-2021,193318,133150,112951,57771,96944,63360,100343,3716,128581,195981,204170,674362,54309,0,185517,9956,6097
09-29-2021,194607,133802,114076,58146,97113,64023,101314,3795,129444,196981,207137,675724,54921,0,185801,9961,6115
09-30-2021,195848,134835,115308,58340,97245,64720,102227,3892,130207,197974,209624,677664,55647,0,186059,9962,6143
10-01-2021,197065,135545,116166,58718,97442,65551,103186,3973,130986,198846,212037,679232,56346,0,186348,9964,6179
10-02-2021,198186,136119,117454,58939,97652,66052,104050,4031,131756,199629,214158,680618,57162,0,186518,9969,6206
10-03-2021,199167,136789,118250,59145,97843,66682,104719,4097,132376,200396,215576,681618,57989,0,186719,9969,6230
10-04-2021,199948,137417,119270,59364,97951,67204,105267,4133,133229,201073,216765,682304,58625,0,186870,9971,6249
10-05-2021,200834,137993,120333,59610,98073,67900,105740,4180,133824,201878,218126,683652,58981,0,187087,9974,6272
10-06-2021,201939,138549,121503,59810,98264,68411,106369,4222,134447,202668,219629,684768,59685,0,187301,9982,6290
10-07-2021,202932,139052,122535,60070,98444,68975,107163,4422,135168,203488,221042,686170,60384,0,187551,9982,6349
10-08-2021,203796,139630,123587,60314,98687,69526,107806,4516,135800,204193,222381,687966,61034,0,187864,9984,6394
10-09-2021,204655,140067,124527,60603,98885,70079,108530,4582,136337,204954,223507,689317,61624,0,188152,9985,6417
10-10-2021,205369,140468,125442,60806,99081,70451,109119,4630,136879,205516,224639,690332,62124,0,188303,9987,6448
