Admin2,,,,,,,,,,,,,,,,,
Province/State,Baden-Wurttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thuringen,Unknown
Country/Region,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
05-14-2020,33804,45352,6393,3173,1132,4976,9169,740,11075,35741,6406,2705,5046,1668,2988,2663,1447
05-15-2020,33858,45532,6424,3191,1153,5009,9204,745,11111,35967,6439,2705,5082,1676,2998,2689,1450
05-16-2020,33912,45665,6443,3197,1167,5031,9261,750,11147,36134,6449,2708,5110,1676,2998,2711,1393
05-17-2020,33962,45777,6454,3204,1174,5029,9317,751,11159,36286,6486,2709,5122,1678,3000,2725,1536
05-18-2020,34006,45863,6474,3205,1240,5037,9337,752,11193,36365,6501,2709,5130,1679,3002,2741,1317
05-19-2020,34071,45966,6503,3208,1259,5042,9368,754,11267,36485,6520,2712,5142,1680,3002,2751,2048
05-20-2020,34130,46084,6552,3211,1276,5045,9483,763,11328,36766,6539,2713,5173,1690,3014,2770,1936
05-21-2020,34212,46268,6582,3224,1276,5053,9574,763,11399,36912,6562,2713,5194,1693,3021,2796,1779
05-22-2020,34310,46318,6611,3228,1296,5059,9656,759,11456,37010,6576,2713,5212,1693,3039,2819,1955
05-23-2020,34367,46438,6636,3232,1299,5063,9670,763,11529,37139,6586,2713,5219,1695,3062,2841,1734
05-24-2020,34399,46505,6641,3237,1312,5066,9762,763,11578,37223,6592,2713,5228,1695,3062,2865,1687
05-25-2020,34435,46642,6651,3238,1313,5069,9770,760,11578,37298,6596,2716,5231,1699,3062,2871,1671
05-26-2020,34495,46745,6672,3246,1323,5069,9804,760,11646,37395,6600,2727,5236,1699,3067,2881,1835
05-27-2020,34575,46885,6702,3256,1348,5072,9860,760,11687,37541,6644,2730,5248,1702,3070,2910,1534
05-28-2020,34642,46998,6737,3262,1372,5076,9915,760,11774,37698,6668,2731,5268,1703,3072,2941,1579
05-29-2020,34708,47073,6766,3271,1404,5078,9962,760,11893,37803,6673,2731,5289,1704,3078,2961,1768
05-30-2020,34736,47115,6799,3279,1404,5082,10003,761,11958,37910,6695,2731,5299,1704,3090,2977,1646
05-31-2020,34755,47178,6815,3283,1404,5088,10033,761,11999,38000,6698,2731,5304,1705,3095,2986,1575
06-01-2020,34784,47269,6838,3286,1404,5096,10047,761,12043,38046,6703,2731,5309,1706,3101,3015,1455
06-02-2020,34796,47298,6873,3286,1448,5098,10060,761,12069,38100,6704,2732,5309,1708,3103,3020,1514
06-03-2020,34834,47345,6900,3283,1464,5098,10080,761,12137,38185,6713,2735,5309,1711,3106,3024,1436
06-04-2020,34843,47389,6945,3290,1500,5106,10129,763,12232,38297,6726,2737,5312,1712,3106,3043,1342
06-05-2020,34892,47389,6963,3296,1514,5110,10163,766,12356,38439,6752,2738,5319,1717,3106,3053,1351
06-06-2020,34906,47389,6996,3299,1519,5111,10171,766,12423,38524,6769,2740,5321,1717,3107,3077,1615
06-07-2020,34930,47389,7015,3299,1534,5114,10203,773,12466,38616,6775,2747,5327,1720,3109,3079,1654
06-08-2020,34949,47402,7041,3304,1535,5116,10207,774,12549,38660,6781,2747,5330,1721,3110,3087,1796
06-09-2020,34974,47452,7081,3302,1550,5120,10237,780,12601,38743,6798,2754,5333,1722,3114,3102,1843
06-10-2020,35004,47496,7135,3309,1568,5125,10256,780,12685,38845,6813,2763,5338,1729,3115,3112,1449
06-11-2020,35059,47536,7164,3352,1574,5133,10296,780,12730,38983,6819,2766,5346,1733,3115,3132,1173
06-12-2020,35094,47580,7251,3313,1584,5134,10313,781,12777,39060,6827,2769,5346,1735,3120,3152,1390
06-13-2020,35094,47613,7281,3326,1584,5139,10321,782,12834,39137,6838,2770,5346,1735,3120,3156,1191
06-14-2020,35094,47629,7321,3326,1589,5143,10324,782,12874,39233,6840,2772,5346,1756,3121,3169,1199
06-15-2020,35154,47643,7368,3329,1596,5146,10324,784,12909,39307,6841,2772,5347,1772,3121,3173,1096
06-16-2020,35181,47696,7401,3334,1610,5148,10371,786,12950,39415,6846,2773,5349,1776,3122,3176,1318
06-17-2020,35223,47704,7474,3362,1622,5150,10386,790,12977,39573,6858,2773,5350,1803,3122,3193,1244
06-18-2020,35243,47747,7602,3365,1629,5155,10440,791,13063,40434,6875,2773,5374,1819,3122,3198,1187
06-19-2020,35282,47799,7732,3374,1639,5159,10503,791,13097,40434,6889,2774,5398,1840,3131,3206,1251
06-20-2020,35282,47827,7803,3387,1648,5162,10556,792,13136,40434,6903,2776,5408,1840,3133,3211,1372
06-21-2020,35282,47843,7832,3399,1651,5169,10575,792,13243,40921,6909,2778,5408,1842,3134,3214,1280
06-22-2020,35375,47867,7915,3402,1657,5170,10578,792,13283,41218,6917,2778,5423,1852,3136,3221,1184
06-23-2020,35419,47896,7974,3408,1656,5174,10613,794,13312,41418,6919,2778,5429,1857,3136,3229,1468
06-24-2020,35456,47995,8020,3413,1658,5175,10645,796,13331,41678,6932,2801,5436,1860,3137,3231,1307
06-25-2020,35486,48122,8095,3428,1661,5175,10666,797,13378,41992,6940,2801,5438,1864,3140,3235,1153
06-26-2020,35541,48202,8144,3437,1662,5177,10707,798,13422,42150,6954,2802,5440,1867,3144,3244,1345
06-27-2020,35541,48262,8167,3448,1664,5187,10731,801,13456,42571,6971,2802,5444,1867,3146,3249,1151
06-28-2020,35541,48294,8175,3451,1664,5187,10761,801,13478,42723,6979,2805,5444,1868,3147,3250,1125
06-29-2020,35630,48344,8219,3451,1665,5200,10762,802,13502,42869,6987,2806,5444,1873,3147,3250,1091
06-30-2020,35705,48400,8242,3451,1670,5203,10795,803,13535,43066,7001,2806,5448,1875,3159,3254,1005
07-01-2020,35755,48480,8301,3459,1673,5204,10811,803,13577,43242,7027,2806,5451,1878,3163,3258,1005
07-02-2020,35780,48547,8344,3470,1678,5211,10869,803,13605,43436,7036,2807,5457,1880,3176,3260,1011
07-03-2020,35817,48587,8392,3479,1678,5216,10894,804,13632,43660,7068,2807,5457,1882,3178,3266,963
07-04-2020,35817,48655,8433,3488,1681,5219,10918,804,13647,43853,7080,2807,5458,1882,3181,3267,1008
07-05-2020,35817,48665,8450,3498,1682,5220,10939,804,13664,43990,7080,2807,5458,1882,3187,3270,1110
07-06-2020,35872,48769,8461,3499,1682,5222,10955,804,13675,44064,7083,2807,5458,1896,3189,3272,1356
07-07-2020,35900,48853,8501,3501,1684,5223,10985,805,13731,44158,7094,2807,5460,1898,3194,3277,1272
07-08-2020,35952,48953,8536,3502,1687,5228,11012,805,13748,44306,7100,2808,5465,1900,3200,3283,1214
07-09-2020,36000,49023,8585,3504,1691,5230,11062,805,13754,44492,7112,2809,5466,1907,3202,3286,1073
07-10-2020,36051,49097,8616,3475,1692,5228,11104,804,13791,44645,7127,2812,5469,1909,3206,3288,1018
07-11-2020,36051,49184,8636,3482,1692,5230,11122,804,13799,44788,7149,2812,5473,1909,3206,3289,1083
07-12-2020,36051,49204,8637,3482,1693,5230,11162,804,13804,44915,7166,2812,5473,1917,3207,3291,1071
07-13-2020,36121,49273,8655,3482,1694,5231,11169,804,13806,44974,7174,2812,5473,1921,3221,3292,1078
07-14-2020,36172,49350,8673,3487,1694,5231,11206,804,13823,45115,7209,2819,5476,1921,3221,3295,960
07-15-2020,36237,49427,8698,3490,1700,5232,11217,805,13848,45233,7232,2823,5478,1931,3235,3304,1000
07-16-2020,36274,49538,8724,3496,1704,5233,11283,805,13887,45388,7259,2824,5484,1938,3238,3310,1065
07-17-2020,36352,49631,8747,3498,1710,5236,11324,806,13905,45710,7278,2827,5485,1941,3251,3318,1026
07-18-2020,36352,49702,8772,3503,1718,5239,11371,806,13952,45910,7293,2828,5488,1941,3253,3320,978
07-19-2020,36352,49710,8778,3510,1719,5240,11386,806,13989,46024,7306,2828,5488,1946,3261,3321,1071
07-20-2020,36502,49785,8801,3510,1720,5240,11409,809,14030,46075,7318,2830,5496,1958,3271,3322,1249
07-21-2020,36566,49880,8836,3514,1726,5243,11430,811,14059,46213,7338,2832,5501,1963,3278,3324,1203
07-22-2020,36647,49958,8859,3525,1730,5250,11458,815,14101,46367,7365,2835,5503,1975,3292,3326,1270
07-23-2020,36741,50049,8893,3533,1736,5274,11534,826,14133,46615,7382,2840,5503,1977,3299,3327,1219
07-24-2020,36828,50127,8956,3544,1745,5290,11591,843,14185,46956,7398,2841,5510,1981,3311,3339,1178
07-25-2020,36828,50267,8990,3543,1745,5303,11649,843,14222,47257,7412,2849,5512,1981,3318,3340,1219
07-26-2020,36831,50282,9000,3544,1746,5321,11680,843,14223,47430,7426,2850,5512,1986,3322,3345,1326
07-27-2020,36926,50501,9019,3545,1755,5325,11685,845,14241,47471,7434,2851,5514,1993,3341,3347,1319
07-28-2020,37047,50589,9070,3550,1761,5337,11743,849,14288,47740,7445,2852,5522,1999,3379,3351,1185
07-29-2020,37124,50701,9149,3559,1766,5355,11806,861,14313,47965,7475,2857,5529,2011,3401,3356,1318
07-30-2020,37233,50821,9191,3571,1777,5385,11895,864,14382,48301,7488,2862,5533,2017,3427,3358,1430
07-31-2020,37317,50919,9273,3582,1784,5401,11965,868,14440,48689,7516,2862,5539,2024,3451,3361,1408
08-01-2020,37317,51068,9318,3591,1784,5420,12029,875,14499,49102,7533,2874,5541,2024,3463,3369,1198
08-02-2020,37317,51080,9327,3592,1784,5435,12117,877,14524,49145,7535,2879,5541,2030,3463,3370,1204
08-03-2020,37463,51217,9366,3593,1789,5443,12142,880,14567,49435,7543,2881,5543,2036,3494,3371,1348
08-04-2020,37522,51279,9398,3601,1793,5460,12199,889,14634,49727,7601,2886,5556,2038,3516,3385,1344
08-05-2020,37579,51494,9489,3615,1795,5485,12254,907,14671,50068,7627,2891,5568,2044,3534,3390,1702
08-06-2020,37647,51583,9542,3622,1801,5529,12310,910,14736,50493,7687,2897,5588,2050,3569,3401,1674
08-07-2020,37752,51710,9639,3638,1803,5609,12468,931,14847,50937,7713,2900,5624,2059,3578,3413,1575
08-08-2020,37752,51794,9687,3654,1803,5633,12602,937,14911,51330,7763,2913,5632,2059,3586,3420,1427
08-09-2020,37767,51803,9697,3658,1803,5677,12703,939,14943,51561,7824,2926,5632,2059,3588,3425,1283
08-10-2020,37899,51882,9739,3659,1812,5690,12737,944,14974,51762,7850,2930,5649,2070,3620,3427,1864
08-11-2020,37978,52069,9850,3662,1822,5747,12815,952,15056,52175,7882,2942,5671,2078,3675,3432,1734
08-12-2020,38165,52203,9975,3667,1825,5773,12876,954,15122,52588,7937,2952,5682,2093,3714,3453,1880
08-13-2020,38273,52436,10106,3683,1831,5820,13008,959,15212,53123,8002,2955,5703,2102,3744,3464,1860
08-14-2020,38425,52645,10195,3710,1838,5849,13187,970,15318,53661,8072,2976,5718,2117,3768,3482,1860
08-15-2020,38425,52873,10237,3726,1838,5877,13390,972,15357,54106,8114,2986,5719,2117,3782,3492,1477
08-16-2020,38480,52888,10252,3735,1841,5886,13433,973,15399,54390,8141,3000,5730,2123,3790,3496,1450
08-17-2020,38743,53088,10318,3736,1854,5900,13486,975,15428,54653,8175,3000,5731,2129,3790,3498,2196
08-18-2020,38971,53418,10393,3752,1867,5926,13675,978,15524,55049,8264,3008,5746,2137,3825,3505,2082
08-19-2020,39230,53748,10462,3765,1881,5953,13842,981,15681,55375,8369,3017,5761,2149,3851,3509,2132
08-20-2020,39496,54147,10542,3782,1888,5988,14029,984,15800,55770,8475,3039,5784,2158,3872,3523,2015
08-21-2020,39832,54494,10654,3800,1896,6018,14260,989,15941,56157,8541,3044,5800,2173,3890,3530,2010
08-22-2020,40034,54843,10716,3817,1896,6045,14409,992,16038,56599,8608,3055,5806,2173,3902,3546,1382
08-23-2020,40034,54858,10727,3826,1900,6053,14587,994,16079,56784,8661,3071,5820,2182,3904,3547,1467
08-24-2020,40360,55156,10785,3827,1915,6082,14657,997,16096,56916,8675,3076,5825,2186,3927,3553,2089
08-25-2020,40687,55493,10851,3843,1927,6109,14809,998,16223,57213,8734,3080,5834,2202,3960,3564,2056
08-26-2020,40964,55840,10933,3855,1947,6136,15025,999,16354,57560,8802,3085,5860,2212,3980,3571,1887
08-27-2020,41247,56332,11010,3881,1960,6166,15105,1001,16463,57826,8851,3095,5889,2221,3999,3585,1940
08-28-2020,41574,56764,11124,3895,1983,6192,15232,1004,16555,58189,8920,3112,5930,2229,4014,3592,1817
08-29-2020,41773,57044,11182,3904,1983,6226,15351,1007,16672,58452,9000,3126,5934,2229,4021,3611,1320
08-30-2020,41773,57059,11188,3905,1992,6249,15399,1008,16723,58584,9045,3153,5949,2232,4022,3624,1400
08-31-2020,42117,57309,11265,3906,2005,6261,15431,1008,16763,58687,9083,3154,5961,2243,4044,3628,1937
09-01-2020,42365,57620,11346,3911,2018,6312,15596,1009,16837,59023,9128,3154,6013,2253,4063,3637,1730
09-02-2020,42607,57916,11430,3915,2040,6350,15692,1015,16928,59263,9181,3157,6053,2263,4090,3644,1867
09-03-2020,42918,58241,11528,3924,2051,6395,15776,1019,17043,59527,9218,3168,6085,2266,4107,3652,1922
09-04-2020,43251,58583,11622,3935,2059,6450,15830,1023,17144,59810,9272,3170,6119,2277,4115,3657,1966
09-05-2020,43415,58999,11702,3954,2059,6485,15978,1023,17218,60085,9315,3189,6138,2277,4120,3676,1425
09-06-2020,43423,59014,11726,3960,2067,6500,16098,1023,17266,60257,9355,3197,6147,2281,4126,3682,1606
09-07-2020,43853,59524,11791,3961,2076,6526,16145,1034,17294,60433,9403,3199,6151,2290,4150,3690,2106
09-08-2020,44110,59937,11878,3980,2088,6590,16278,1038,17398,60695,9472,3199,6178,2293,4150,3694,1979
09-09-2020,44388,60452,11950,3991,2097,6625,16375,1044,17491,60878,9521,3208,6229,2308,4197,3700,1979
09-10-2020,44610,60986,12089,4000,2112,6698,16500,1046,17617,61201,9570,3218,6277,2317,4207,3722,1979
09-11-2020,44896,61344,12215,4020,2120,6772,16603,1054,17689,61505,9634,3222,6343,2333,4207,3745,2033
09-12-2020,44903,61689,12253,4029,2120,6813,16714,1055,17826,61820,9707,3225,6351,2333,4218,3765,1996
09-13-2020,45247,61705,12268,4031,2130,6824,16808,1055,17893,62079,9754,3243,6365,2337,4222,3780,1996
