Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Adygea Republic,Altai Krai,Altai Republic,Amur Oblast,Arkhangelsk Oblast,Astrakhan Oblast,Bashkortostan Republic,Belgorod Oblast,Bryansk Oblast,Buryatia Republic,Chechen Republic,Chelyabinsk Oblast,Chukotka Autonomous Okrug,Chuvashia Republic,Dagestan Republic,Ingushetia Republic,Irkutsk Oblast,Ivanovo Oblast,Jewish Autonomous Okrug,Kabardino-Balkarian Republic,Kaliningrad Oblast,Kalmykia Republic,Kaluga Oblast,Kamchatka Krai,Karachay-Cherkess Republic,Karelia Republic,Kemerovo Oblast,Khabarovsk Krai,Khakassia Republic,Khanty-Mansi Autonomous Okrug,Kirov Oblast,Komi Republic,Kostroma Oblast,Krasnodar Krai,Krasnoyarsk Krai,Kurgan Oblast,Kursk Oblast,Leningrad Oblast,Lipetsk Oblast,Magadan Oblast,Mari El Republic,Mordovia Republic,Moscow,Moscow Oblast,Murmansk Oblast,Nenets Autonomous Okrug,Nizhny Novgorod Oblast,North Ossetia - Alania Republic,Novgorod Oblast,Novosibirsk Oblast,Omsk Oblast,Orel Oblast,Orenburg Oblast,Penza Oblast,Perm Krai,Primorsky Krai,Pskov Oblast,Rostov Oblast,Ryazan Oblast,Saint Petersburg,Sakha (Yakutiya) Republic,Sakhalin Oblast,Samara Oblast,Saratov Oblast,Smolensk Oblast,Stavropol Krai,Sverdlovsk Oblast,Tambov Oblast,Tatarstan Republic,Tomsk Oblast,Tula Oblast,Tver Oblast,Tyumen Oblast,Tyva Republic,Udmurt Republic,Ulyanovsk Oblast,Vladimir Oblast,Volgograd Oblast,Vologda Oblast,Voronezh Oblast,Yamalo-Nenets Autonomous Okrug,Yaroslavl Oblast,Zabaykalsky Krai
Country/Region,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia,Russia
06-01-2020,874,1915,132,528,2068,1883,3337,2392,3787,1513,1247,2929,80,2973,5096,2127,1979,2057,314,2903,1553,1074,4009,881,1137,445,545,2142,985,2587,1751,1352,772,3908,4380,245,3063,2875,2194,246,1815,1931,183088,39723,3264,73,10149,3005,1353,2914,1411,2341,1979,2417,1782,2049,887,4942,3581,16313,2042,118,2648,3174,2299,2568,5732,3047,3244,716,3968,1650,1661,1115,682,2567,2735,3215,952,2139,2415,3210,1136
06-02-2020,890,1985,133,546,2124,1937,3409,2471,3885,1563,1264,3042,81,3061,5228,2164,2189,2140,314,2978,1607,1085,4092,916,1204,453,589,2209,1020,2736,1828,1393,804,3987,4530,252,3123,2928,2261,248,1854,1970,185374,40455,3296,74,10503,3055,1430,3020,1437,2372,2032,2502,1839,2103,910,5195,3653,16689,2116,133,2724,3269,2409,2653,6024,3110,3297,739,4074,1695,1702,1161,717,2672,2797,3334,979,2234,2466,3284,1165
06-03-2020,904,2066,138,566,2363,2004,3501,2548,3982,1587,1278,3150,87,3148,5341,2197,2309,2205,317,3052,1642,1108,4179,949,1276,496,616,2273,1052,2847,1904,1426,825,4068,4654,255,3199,2982,2326,260,1894,2012,187216,41191,3342,74,10850,3104,1493,3122,1482,2443,2085,2585,1911,2155,954,5373,3728,17069,2214,143,2770,3363,2536,2733,6381,3175,3351,765,4183,1731,1749,1221,770,2770,2853,3432,998,2361,2479,3356,1218
06-04-2020,937,2135,154,588,2496,2097,3608,2624,4078,1633,1291,3263,91,3231,5463,2228,2447,2322,323,3126,1665,1127,4270,984,1354,520,638,2333,1077,2987,1967,1455,842,4148,4795,259,3272,3034,2388,271,1933,2051,189214,41958,3375,75,11169,3151,1546,3226,1540,2528,2141,2669,1962,2211,1066,5557,3801,17444,2308,147,2833,3457,2678,2819,6679,3242,3402,797,4293,1804,1798,1297,822,2870,2908,3541,1018,2466,2534,3430,1257
06-05-2020,962,2192,156,615,2621,2172,3727,2695,4174,1681,1306,3371,97,3311,5587,2268,2542,2447,329,3199,1700,1136,4357,1033,1430,548,666,2398,1102,3104,2042,1480,862,4231,4968,268,3357,3086,2452,286,1975,2098,191069,42720,3422,80,11499,3197,1588,3334,1595,2649,2204,2759,2011,2262,1131,5753,3872,17822,2380,160,2922,3553,2828,2903,6930,3307,3452,832,4398,1875,1834,1391,865,2965,2966,3669,1035,2592,2579,3501,1321
06-06-2020,995,2255,163,657,2746,2233,3832,2769,4269,1733,1326,3499,102,3395,5743,2307,2613,2577,336,3272,1736,1149,4431,1085,1505,573,685,2468,1111,3231,2121,1518,888,4312,5136,280,3425,3137,2516,313,2019,2138,193061,43478,3472,80,11820,3241,1634,3441,1676,2760,2267,2845,2067,2313,1163,5965,3940,18169,2453,170,3026,3651,2923,2990,7179,3371,3504,868,4505,1962,1873,1489,904,3074,3026,3794,1056,2698,2621,3576,1398
06-07-2020,1025,2319,172,702,2868,2293,3928,2840,4364,1785,1345,3614,106,3475,5858,2342,2792,2705,343,3348,1776,1168,4511,1125,1580,614,721,2537,1128,3346,2182,1564,901,4399,5301,288,3501,3188,2577,327,2061,2185,195017,44232,3530,80,12137,3283,1676,3546,1718,2870,2331,2943,2135,2375,1232,6166,4013,18509,2531,188,3114,3763,3035,3079,7419,3439,3558,922,4620,2055,1908,1607,936,3168,3089,3913,1084,2837,2694,3646,1471
06-08-2020,1069,2390,180,748,2989,2337,4017,2913,4458,1833,1365,3737,106,3561,5970,2368,2877,2822,347,3424,1813,1179,4600,1168,1654,633,752,2596,1141,3475,2260,1600,926,4485,5460,306,3561,3238,2637,339,2104,2230,197018,44983,3576,80,12442,3324,1734,3648,1776,2967,2397,3053,2202,2442,1269,6355,4088,18835,2611,204,3200,3900,3157,3167,7668,3504,3611,971,4734,2147,1947,1738,963,3265,3151,4030,1111,3065,2777,3714,1551
06-09-2020,1115,2458,190,796,3085,2420,4113,2988,4551,1877,1384,3880,110,3646,6077,2399,3083,2930,350,3499,1858,1180,4691,1214,1729,656,786,2661,1165,3624,2300,1626,953,4574,5617,314,3619,3287,2697,348,2151,2296,198590,45722,3674,80,12734,3364,1779,3752,1851,3092,2461,3191,2267,2500,1306,6542,4164,19153,2686,216,3246,4015,3300,3253,7910,3569,3665,1018,4843,2231,1981,1835,987,3359,3205,4122,1137,3285,2833,3781,1634
06-10-2020,1158,2524,204,835,3217,2501,4194,3061,4641,1956,1400,4015,112,3725,6175,2438,3265,3031,356,3576,1904,1203,4761,1255,1807,676,834,2733,1191,3821,2360,1693,977,4655,5791,330,3690,3342,2758,359,2193,2360,199785,46457,3700,80,13038,3403,1823,3858,1930,3181,2521,3317,2360,2552,1366,6734,4228,19466,2753,250,3359,4132,3432,3338,8194,3636,3720,1066,4946,2314,2013,1914,1011,3450,3260,4238,1159,3527,2887,3844,1704
