Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Port Quarantine,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Unknown,Wakayama,Yamagata,Yamaguchi,Yamanashi
Country/Region,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
07-18-2020,617,16,34,1276,82,126,991,84,173,167,205,1330,814,220,303,0,44,164,1971,76,49,527,55,132,20,83,39,151,89,60,37,152,2331,453,45,1717,109,25,105,124,10,9413,5,231,8,89,75,42,77
07-19-2020,638,16,34,1301,83,126,1024,84,177,167,209,1339,835,225,303,0,44,165,1999,76,49,539,56,132,20,83,40,154,89,60,41,152,2420,462,45,1755,110,25,109,133,10,9589,5,231,8,89,75,42,78
07-20-2020,659,16,34,1319,83,126,1056,84,180,167,210,1342,842,226,303,0,44,170,2012,76,50,566,57,136,20,87,47,156,89,60,44,156,2469,473,46,1785,114,25,109,136,10,9589,5,231,8,93,75,42,79
07-21-2020,712,16,34,1334,83,126,1109,84,194,169,218,1352,853,230,306,0,44,172,2044,77,51,586,57,136,20,87,47,163,89,60,44,158,2541,488,47,1832,117,25,114,139,10,9956,5,233,8,96,75,42,80
07-22-2020,776,16,34,1374,83,127,1170,85,200,174,225,1358,884,235,306,0,45,174,2111,77,53,605,59,138,23,85,50,171,91,60,44,160,2662,492,54,1894,128,26,124,142,10,10064,5,234,8,100,75,45,80
07-23-2020,873,16,34,1407,83,127,1237,86,208,177,241,1362,919,237,307,0,45,189,2164,77,56,624,62,140,27,85,50,184,91,60,45,165,2766,507,59,1958,145,26,124,147,10,10430,5,235,8,109,75,47,85
07-24-2020,936,16,34,1433,84,127,1288,86,216,177,247,1368,942,239,310,0,45,203,2190,78,57,640,64,140,36,86,51,195,91,60,49,175,2915,512,61,2003,151,28,131,151,10,10690,5,235,8,112,75,47,86
07-25-2020,1014,17,34,1454,84,127,1338,86,220,179,254,1377,966,239,310,0,45,211,2207,78,59,644,64,142,55,87,51,200,91,60,59,189,3047,523,64,2038,152,29,161,159,12,10985,6,235,8,116,75,47,86
07-26-2020,1094,18,34,1476,85,129,1428,86,231,179,260,1382,1015,242,313,0,45,216,2240,79,84,657,69,142,67,91,52,205,93,60,61,195,3188,529,65,2071,153,29,200,166,13,11224,6,235,8,122,75,50,86
07-27-2020,1170,18,34,1500,87,129,1477,86,240,179,264,1387,1027,249,313,0,45,219,2254,79,118,677,73,147,74,91,55,209,93,60,64,213,3275,547,65,2094,157,29,209,167,16,11355,9,236,8,130,75,51,88
07-28-2020,1280,18,34,1523,89,133,1531,86,265,182,283,1390,1060,259,314,0,46,229,2287,80,138,708,79,149,94,97,59,215,96,62,66,234,3430,560,67,2149,157,30,227,169,18,11621,8,236,8,134,75,51,90
07-29-2020,1447,18,34,1572,89,137,1632,87,295,183,304,1395,1106,268,316,2,46,232,2357,80,160,749,89,153,106,101,61,221,98,62,71,278,3651,582,71,2202,163,30,243,185,23,11871,10,236,8,140,75,53,90
