Admin2,,,,,,,,,,,,
Province/State,Antwerp,Brussels,East Flanders,Flemish Brabant,Hainaut,Liege,Limburg,Luxembourg,Namur,Unknown,Walloon Brabant,West Flanders
Country/Region,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
11-12-2020,60560,71270,46386,40227,83081,85034,21384,14394,29488,8595,21252,38722
11-13-2020,61031,71711,46991,40486,84021,85748,21585,14545,29703,8674,21359,39158
11-14-2020,61703,72211,47808,40934,85035,86749,21843,14787,30043,8776,21646,39745
11-15-2020,62216,72592,48444,41165,86262,87228,22014,14877,30287,8857,21904,40093
11-16-2020,62503,72810,48637,41274,86654,87365,22109,14962,30425,8894,21983,40255
11-17-2020,62821,72985,48987,41477,87039,87808,22305,15070,30517,8951,22076,40569
11-18-2020,63503,73537,49705,41806,87734,88570,22570,15237,30779,9047,22262,41037
11-19-2020,64148,73971,50329,42024,88551,89004,22773,15403,30990,9118,22380,41573
11-20-2020,64605,74344,50826,42231,89091,89428,22959,15484,31164,9155,22479,41914
11-21-2020,65043,74700,51272,42435,89570,89792,23128,15608,31346,9197,22572,42241
11-22-2020,65316,74909,51500,42636,89810,89972,23242,15639,31467,9237,22637,42414
11-23-2020,65509,75004,51716,42715,89991,90044,23271,15679,31538,9262,22663,42510
11-24-2020,65744,75119,51973,42832,90170,90305,23458,15757,31618,9287,22727,42813
11-25-2020,66179,75474,52455,43117,90533,90634,23627,15882,31782,9331,22831,43122
11-26-2020,66488,75755,52849,43337,90813,90962,23767,15953,31933,9375,22914,43386
11-27-2020,67070,75996,53256,43553,91397,91266,23940,16062,32118,9415,22983,43773
11-28-2020,67402,76206,53563,43701,92967,91503,24093,16158,32240,9488,23076,44051
11-29-2020,67704,76388,53903,43902,93334,91617,24300,16198,32325,9527,23128,44273
11-30-2020,67839,76457,54011,43964,93425,91624,24352,16226,32352,9536,23167,44392
12-01-2020,68099,76573,54243,44133,93621,91816,24501,16344,32434,9561,23219,44668
12-02-2020,68611,76824,54733,44360,94026,92052,24686,16442,32543,9610,23296,45069
12-03-2020,68962,77067,55139,44591,94379,92268,24851,16511,32642,9646,23371,45430
12-04-2020,69368,77256,55550,44818,94733,92515,24971,16655,32746,9689,23440,45698
12-05-2020,69720,77458,55899,45070,95030,92690,25143,16760,32877,9724,23519,46052
12-06-2020,70046,77621,56171,45221,95260,92817,25244,16808,32948,9751,23573,46296
12-07-2020,70193,77686,56307,45309,95364,92859,25307,16829,32988,9764,23608,46401
12-08-2020,70474,77793,56648,45501,95579,93009,25447,16896,33053,9793,23643,46736
12-09-2020,70953,77970,57142,45723,96008,93229,25672,17014,33188,9829,23745,47170
12-10-2020,71368,78152,57603,45941,96379,93467,25857,17109,33294,9890,23828,47509
12-11-2020,71368,78152,57603,45941,96379,93467,25857,17109,33294,9890,23828,47509
12-12-2020,71827,78384,58025,46136,96715,93672,26003,17211,33442,9935,23902,47907
12-13-2020,72691,78711,58793,46481,97424,94007,26350,17330,33685,10047,24043,48575
12-14-2020,72928,78760,58994,46545,97558,94046,26446,17347,33739,10039,24057,48752
12-15-2020,73332,78849,59416,46695,97734,94222,26597,17440,33803,10060,24114,49160
12-16-2020,73945,79082,60027,46969,98181,94458,26832,17532,34047,10111,24193,49681
12-17-2020,74521,79316,60450,47198,98597,94682,27044,17642,34194,10152,24291,50117
