Admin2,Province/State,Country/Region,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021,01-21-2021,01-22-2021,01-23-2021,01-24-2021,01-25-2021,01-26-2021,01-27-2021,01-28-2021,01-29-2021,01-30-2021,01-31-2021,02-01-2021,02-02-2021,02-03-2021,02-04-2021,02-05-2021,02-06-2021,02-07-2021,02-08-2021,02-09-2021,02-10-2021,02-11-2021,02-12-2021,02-13-2021,02-14-2021,02-15-2021,02-16-2021,02-17-2021,02-18-2021,02-19-2021,02-20-2021,02-21-2021,02-22-2021,02-23-2021,02-24-2021,02-25-2021,02-26-2021,02-27-2021,02-28-2021,03-01-2021,03-02-2021,03-03-2021,03-04-2021,03-05-2021,03-06-2021,03-07-2021,03-08-2021,03-09-2021,03-10-2021,03-11-2021,03-12-2021,03-13-2021,03-14-2021,03-15-2021,03-16-2021,03-17-2021,03-18-2021,03-19-2021,03-20-2021,03-21-2021,03-22-2021,03-23-2021,03-24-2021,03-25-2021,03-26-2021
,Aruba,Netherlands,8,8,10,12,14,14,13,14,14,14,14,14,14,12,13,13,8,9,17,56,146,279,392,446,513,600,681,776,855,851,898,905,924,1014,1104,1043,1081,1106,1160,1097,1165,1232,1154,1200,1222,1228,1237,1265,1248,1226,1208,1229,1223,1281,1364,1396,1429,1434,1486,1474,1520,1630,1617,1309,1309,1289,1194,1214,1195,1067,1021,978,871,810,727,677,644,602,570,517,451,434,424,401,417,403,393,374,347,348,343,310,287,305,260,256,250,233,205,188,175,164,148,153,149,171,156,155,155,160,166,173,172,166,171,176,181,169,99,96,93,84,89,85,82,79,73,91,90,85,88,101,106,115,124,114,108,122,139,145,151,149,132,120,112,95,100,106,108,107,107,122,140,158,163,171,159,160,155,173,179,161,162,164,164,206,261,291,281,274,306,339,429,488,510,538,527,535,537,591,624,582,541,524,460,476,512,523,558,502,480,427,391,362,373,405,371,380,341,334,321,341,367,359,344,327,293,318,329,308,283,265,278,272,261,292,285,286,285,280,260,280,268,239,252,240,223,179,169,174,209,182,202,205,205,207,221,221,234,270,271,268,308,327,379,394,427,437,426,510,567,618,659
,Curacao,Netherlands,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,1,1,1,1,1,1,2,4,4,4,4,4,5,5,12,14,18,19,26,26,31,32,35,35,38,38,48,46,56,58,64,75,79,88,99,102,107,123,135,144,158,171,179,187,196,199,204,202,218,215,212,220,213,213,215,220,219,213,234,250,257,262,267,252,275,277,301,306,297,310,292,292,305,294,283,281,273,282,277,283,300,297,304,302,296,277,273,260,268,267,279,278,292,315,314,346,382,410,427,467,527,590,640,691,742,739,781,869,965,1040,1131,1222,1224,1305,1433,1488,1591,1676,1792,1814,1852,1829,1828,1853,1858,1877,1873,1799,1811,1707,1660,1660,1660,1679,1635,1654,1657,1662,1640,1601,1569,1508,1457,1321,1323,1328,1131,1027,1006,898,908,884,758,557,460,427,373,271,233,209,209,146,131,122,109,107,104,94,90,96,81,75,74,75,68,62,62,64,61,52,54,57,53,53,59,54,62,62,60,59,62,60,54,56,56,56,62,63,63,62,64,68,67,64,63,60,70,84,97,112,114,126,154,205,240,324,373,397,486,611,736,879,1000,1149,1160,1259,1445,1642,2021
,Drenthe,Netherlands,495,498,498,498,499,501,504,505,507,507,508,508,508,509,510,511,512,513,513,518,521,522,525,530,530,532,534,537,538,540,541,544,545,546,549,551,554,558,558,561,562,564,565,566,568,569,569,569,571,574,576,579,585,585,588,595,596,601,609,614,622,632,647,665,681,704,750,766,801,846,909,939,985,985,985,1155,1201,1274,1328,1395,1395,1503,1555,1650,1746,1906,2126,2331,2465,2590,2769,2918,3058,3267,3476,3623,3748,3898,4049,4169,4337,4477,4597,4680,4774,4909,5063,5193,5313,5398,5495,5581,5685,5792,5884,5956,6019,6101,6178,6253,6330,6407,6508,6573,6708,6727,6833,6985,7075,7179,7238,7320,7406,7482,7570,7623,7695,7746,7826,7908,7985,8092,8169,8260,8331,8446,8582,8712,8840,9098,9286,9389,9621,9912,10167,10494,10784,11019,11251,11464,11699,11974,12229,12410,12598,12805,13049,13344,13577,13792,14060,14245,14432,14586,14826,15043,15284,15483,15654,15778,15960,16190,16356,16476,16633,16766,16863,16999,17151,17285,17388,17499,17621,17696,17805,17913,18008,18124,18244,18347,18437,18559,18705,18791,18928,19035,19142,19157,19237,19317,19483,19665,19770,19897,20005,20066,20232,20394,20550,20664,20763,20848,20933,21101,21236,21389,21502,21586,21747,21869,22004,22118,22243,22342,22425,22540,22708,22857,22983,23148,23269,23447,23608,23788,23925,24067,24275,24490,24677,24865,25055,25254,25442
,Flevoland,Netherlands,889,889,889,889,891,891,892,894,897,897,899,901,904,905,914,922,926,934,940,943,948,953,957,962,964,1009,1019,1028,1047,1053,1063,1076,1083,1098,1111,1124,1140,1151,1157,1169,1177,1185,1197,1213,1221,1224,1236,1250,1267,1275,1292,1316,1334,1353,1380,1395,1420,1442,1465,1492,1517,1557,1587,1617,1665,1690,1715,1754,1802,1853,1905,1950,1983,1983,1983,2147,2195,2242,2307,2381,2381,2546,2614,2688,2793,2910,3003,3122,3253,3399,3525,3709,3891,3963,4072,4226,4402,4597,4775,4972,5210,5347,5488,5669,5836,6059,6287,6427,6568,6804,7006,7133,7297,7450,7596,7710,7809,7966,8120,8246,8418,8535,8635,8788,9028,9144,9309,9498,9647,9855,10037,10199,10372,10592,10746,10859,11015,11162,11323,11509,11652,11803,12101,12315,12528,12686,12985,13073,13366,13676,14010,14274,14654,15044,15378,15641,16035,16406,16767,17138,17464,17772,18011,18314,18582,18795,19112,19382,19545,19837,20065,20254,20372,20571,20779,20991,21191,21331,21472,21614,21753,21908,22018,22119,22251,22369,22473,22573,22700,22774,22870,22980,23053,23113,23221,23329,23437,23525,23605,23675,23761,23844,23935,23995,24067,24151,24222,24248,24287,24353,24451,24525,24597,24665,24707,24758,24819,24890,24975,25043,25108,25196,25263,25320,25427,25508,25581,25656,25727,25816,25895,25972,26089,26170,26249,26310,26408,26493,26590,26680,26789,26862,26935,27054,27177,27293,27385,27527,27677,27791,27938,28089,28205
,Friesland,Netherlands,573,574,574,574,574,576,576,578,578,578,579,579,580,581,583,584,587,588,588,588,588,589,592,594,608,621,632,641,652,657,663,674,686,694,698,702,708,715,720,724,732,735,738,745,750,755,756,758,763,769,771,777,785,786,795,800,806,811,821,833,852,869,893,915,942,987,1014,1044,1073,1102,1163,1243,1287,1287,1287,1524,1615,1714,1782,1846,1846,2040,2146,2279,2386,2499,2678,2972,3115,3240,3435,3593,3741,3911,4057,4213,4350,4482,4633,4785,4888,5094,5184,5277,5398,5546,5677,5809,5944,6068,6141,6229,6316,6392,6468,6541,6618,6709,6784,6879,6967,7037,7153,7254,7362,7487,7573,7674,7765,7886,7978,8070,8146,8236,8338,8449,8560,8647,8731,8840,8962,9105,9239,9387,9511,9646,9809,9985,10149,10327,10590,10704,10923,11181,11393,11679,12000,12291,12486,12711,12977,13253,13551,13779,13946,14144,14351,14604,14858,15140,15429,15675,15877,16047,16283,16603,16833,17041,17233,17383,17551,17788,18060,18249,18471,18733,18929,19124,19362,19588,19752,19995,20150,20320,20485,20639,20824,21002,21150,21286,21444,21611,21790,21961,22161,22402,22548,22630,22740,22956,23154,23341,23492,23664,23778,23873,24046,24262,24455,24695,24899,25028,25177,25371,25628,25791,25958,26095,26219,26350,26511,26677,26855,26993,27155,27297,27502,27672,27829,28052,28372,28579,28766,29001,29268,29500,29740,29976,30151,30360,30618,30916,31168
,Gelderland,Netherlands,5834,5840,5843,5843,5860,5866,5869,5874,5881,5881,5899,5904,5909,5921,5936,5958,5972,5973,5981,5988,6007,6030,6049,6080,6100,6134,6166,6191,6216,6237,6266,6285,6306,6338,6364,6400,6428,6469,6521,6557,6591,6627,6671,6702,6736,6763,6792,6833,6864,6903,6948,7020,7088,7157,7245,7339,7429,7537,7609,7740,7858,7997,8136,8277,8434,8564,8788,8956,9213,9429,9728,9962,10196,10196,10196,11039,11348,11712,11976,12316,12316,13252,13636,14227,14784,15416,16006,16597,17285,18003,18799,19454,20211,20919,21639,22430,23265,23997,24768,25499,26418,27187,28152,29069,30037,31555,32746,33676,34567,35298,36101,36825,37538,38255,38894,39341,39928,40419,41019,41717,42296,42858,43263,43712,44131,44824,45537,46209,46757,47295,47761,48311,48797,49465,49937,50686,51135,51621,52078,52788,53719,54552,55401,56225,56855,57613,58761,60096,60973,62278,63417,64005,65523,67037,68846,70285,72187,73639,74959,76343,77922,79430,80810,82195,83376,84285,85668,86943,88225,89532,90356,91217,91944,92864,94367,95330,96425,97324,98034,98650,99463,100330,101098,101772,102449,103026,103601,104299,104971,105614,106288,106833,107295,107736,108221,108727,109241,109671,109986,110371,110743,111226,111597,112041,112464,112873,113020,113202,113453,113903,114276,114651,114931,115208,115424,115691,116153,116526,116986,117410,117715,118052,118444,118928,119243,119747,120138,120443,120856,121274,121719,122183,122625,123031,123443,123897,124420,124979,125578,126268,126834,127340,127886,128530,129109,129922,130751,131422,132042,132671,133485,134304,135261
,Groningen,Netherlands,350,350,351,351,352,352,352,353,355,355,360,362,363,365,368,371,373,376,383,388,394,401,408,415,424,429,439,453,465,473,483,492,503,508,516,523,532,538,541,544,549,555,565,569,571,579,581,585,593,600,607,613,625,638,654,671,700,734,756,790,831,865,901,943,992,1045,1125,1210,1296,1357,1435,1483,1526,1526,1526,1782,1851,1920,2127,2244,2244,2477,2572,2721,2850,2959,3114,3307,3477,3597,3802,3958,4099,4328,4488,4637,4751,4873,5004,5086,5179,5288,5413,5666,5782,5894,5989,6068,6165,6237,6298,6382,6459,6542,6606,6683,6721,6782,6841,6930,6999,7080,7175,7231,7289,7358,7483,7604,7706,7834,7889,7953,8051,8185,8272,8370,8468,8547,8644,8791,8909,9020,9163,9390,9554,9657,9851,10067,10235,10444,10682,10835,11119,11456,11726,11960,12237,12608,12795,13035,13315,13589,13876,14173,14408,14532,14733,14932,15158,15329,15632,15968,16134,16282,17915,18228,18403,18550,18734,18921,19087,19296,19504,19660,19864,20063,20193,20476,20602,20829,20991,21157,21278,21359,21516,21647,21746,21904,22006,22099,22172,22290,22414,22514,22641,22784,22837,22886,23022,23166,23332,23517,23666,23741,23851,23971,24110,24259,24452,24655,24863,25017,25157,25308,25503,25803,25965,26116,26231,26385,26525,26671,26822,26934,26992,27131,27223,27469,27625,27752,27919,28016,28136,28243,28458,28699,28871,28988,29073,29203,29396,29587,29736
,Limburg,Netherlands,4134,4138,4139,4139,4145,4146,4146,4150,4153,4153,4159,4160,4163,4167,4169,4176,4179,4184,4188,4195,4197,4206,4213,4230,4242,4263,4276,4293,4311,4347,4368,4374,4385,4398,4421,4444,4466,4494,4513,4538,4562,4584,4602,4627,4644,4668,4687,4710,4727,4752,4774,4799,4817,4835,4861,4891,4927,4964,5002,5036,5061,5094,5141,5173,5230,5268,5307,5344,5407,5462,5531,5583,5667,5667,5667,5936,6038,6125,6236,6379,6379,6610,6767,6945,7103,7369,7625,7901,8138,8417,8657,8932,9281,9672,10022,10312,10631,11049,11468,11809,12218,12861,13286,13598,13968,14374,14814,15243,15599,15906,16287,16724,17132,17463,17788,18058,18298,18603,18912,19198,19569,19896,20145,20411,20744,21015,21251,21602,21909,22219,22463,22671,22964,23317,23585,23921,24239,24586,24883,25238,25611,26038,26569,27131,27600,28125,28772,29497,30269,31174,31875,32547,33316,34548,35380,36504,37524,38495,39418,40503,41436,42263,42906,43928,44560,45194,45760,46453,46968,47702,48353,48796,49289,49865,50459,51076,51716,52331,53029,53551,54057,54651,55065,55605,56266,56780,57193,57627,58115,58595,59106,59561,59926,60260,60584,60997,61369,61753,62118,62462,62743,63104,63482,63853,64202,64526,64747,64882,65125,65465,65770,66051,66322,66523,66721,66952,67215,67508,67835,68222,68542,68765,69013,69268,69574,69858,70133,70364,70560,70838,71034,71297,71631,71847,72111,72380,72626,72855,73210,73589,73907,74264,74515,74795,75150,75450,76077,76516,76962,77322,77663,78186,78606
,Noord-Brabant,Netherlands,8212,8228,8247,8247,8284,8310,8319,8343,8357,8357,8399,8434,8473,8516,8552,8602,8662,8715,8766,8818,8878,8947,9017,9102,9168,9275,9331,9381,9452,9520,9591,9652,9718,9784,9834,9916,9976,10044,10129,10188,10287,10359,10447,10533,10598,10668,10718,10786,10850,10924,11004,11100,11186,11276,11390,11474,11575,11687,11806,11919,12028,12150,12317,12513,12726,12870,13118,13383,13697,14019,14342,14611,14943,14943,14943,15979,16328,16861,17416,17900,17900,19191,19843,20641,21412,22496,23462,24370,25317,26569,27951,29156,30256,31309,32429,33899,35435,36696,38103,39384,40642,42855,44521,46195,48069,49565,51160,52788,54566,56245,57814,58813,60031,61239,62151,62903,63633,64589,65246,66155,67348,68180,69152,69982,70627,71655,72655,73649,74600,75479,76136,77001,77628,78693,79337,80276,81032,81684,82407,83303,84325,85541,86561,87695,88736,89722,91073,92445,93885,95506,96817,97886,99777,101643,103424,105212,107276,108900,110348,111734,113283,114878,116269,117604,118666,119684,120965,122241,123374,124423,125706,126568,127673,128613,130687,131987,133095,134060,134827,135433,136236,137110,138068,138979,139704,140414,141056,141843,142727,143649,144489,145289,145946,146559,147442,148258,149063,149803,150466,151010,151534,152266,152973,153682,154458,155093,155429,155785,156329,156950,157629,158174,158736,159171,159572,160073,160819,161614,162419,163277,164017,164688,165490,166423,167278,168026,168723,169253,169801,170656,171200,171983,172886,173639,174160,174820,175621,176439,177403,178342,179372,180203,181043,181918,182796,183872,185233,186371,187329,188186,189488,190575,191650
,Noord-Holland,Netherlands,6642,6665,6709,6709,6778,6813,6844,6885,6916,6916,7023,7072,7115,7211,7283,7378,7436,7508,7686,7775,7976,8091,8224,8352,8562,8747,8901,9018,9211,9405,9535,9697,9852,10007,10173,10313,10401,10506,10672,10814,10946,11078,11210,11336,11437,11597,11726,11923,12074,12280,12460,12667,12882,13181,13444,13668,13970,14282,14607,14921,15331,15744,16174,16735,17247,17736,18199,18819,19342,19882,20532,21198,21972,21972,21972,23950,24668,25382,26177,27047,27047,28770,29808,30850,31962,33163,34213,35421,36928,38398,39582,41234,42965,44400,45856,47495,49365,51126,53003,54385,56325,57859,59728,61065,62742,64442,65959,67289,68346,69492,70571,71878,72911,74082,74954,75890,76584,77472,78471,79588,80477,81319,82149,82772,83468,84173,85153,86224,87173,87928,88553,89273,89911,90858,91558,92435,93145,93864,94574,95505,96317,97456,98558,99522,100388,101546,102737,104107,105526,106864,108107,109171,110824,112670,114507,116309,118160,119855,121448,123162,124991,126597,128146,129691,130828,131877,133348,134943,136124,137459,138590,139534,140400,141515,143050,144171,145071,146079,146854,147707,148449,149512,150419,151201,152166,152855,153565,154414,155409,156264,157237,158030,158587,159403,160149,161007,161708,162338,162994,163500,164121,164814,165584,166327,166974,167646,168030,168407,168899,169760,170583,171351,172063,172610,173191,173989,174752,175759,176598,177555,178370,179192,180070,180984,182056,183076,184309,185118,185874,187131,187843,188830,190068,191158,191894,192713,193788,194632,195913,197166,198137,199254,200203,201278,202314,203710,205091,206377,207405,208342,209590,210871,212127
