Admin2,,,,,,,,,,,,,,,,
Province/State,Aruba,Curacao,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,Noord-Brabant,Noord-Holland,Overijssel,Sint Maarten,Unknown,Utrecht,Zeeland,Zuid-Holland
Country/Region,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
07-17-2020,3,1,41,92,69,684,17,751,1535,817,311,15,18,429,69,1305
07-18-2020,3,1,41,92,69,684,17,752,1535,814,311,15,18,429,69,1305
07-19-2020,3,1,41,92,69,684,17,752,1535,814,311,15,18,429,69,1305
07-20-2020,3,1,41,92,69,684,17,752,1535,814,311,15,18,429,69,1305
07-21-2020,3,1,41,92,69,684,17,753,1535,814,311,15,18,429,69,1304
07-22-2020,3,1,41,92,69,684,17,753,1535,815,311,15,18,429,69,1306
07-23-2020,3,1,41,92,69,684,17,753,1535,815,311,15,18,429,69,1306
07-24-2020,3,1,41,92,69,684,17,753,1535,815,311,15,18,429,69,1306
07-25-2020,3,1,41,92,69,684,17,753,1535,815,311,15,18,429,69,1307
07-26-2020,3,1,41,92,69,684,17,753,1535,815,311,15,18,429,69,1307
07-27-2020,3,1,41,92,69,684,17,753,1536,815,311,15,18,429,69,1307
07-28-2020,3,1,41,92,69,684,17,754,1536,815,311,15,18,430,69,1309
07-29-2020,3,1,41,93,69,684,17,754,1536,815,311,15,18,430,69,1310
07-30-2020,3,1,41,93,69,684,17,754,1536,815,311,15,18,430,69,1310
07-31-2020,3,1,41,93,69,684,17,754,1536,815,311,15,18,430,69,1310
08-01-2020,3,1,41,93,69,684,17,754,1536,815,311,15,18,430,69,1311
08-02-2020,3,1,41,93,69,684,17,754,1537,815,311,16,18,430,69,1311
08-03-2020,3,1,41,93,69,684,17,754,1537,815,311,16,18,430,69,1311
08-04-2020,3,1,41,93,69,684,17,754,1537,815,311,16,18,431,69,1311
08-05-2020,3,1,41,93,69,684,17,754,1538,815,311,16,18,432,69,1312
08-06-2020,3,1,41,93,69,684,17,754,1538,815,311,16,18,432,69,1312
08-07-2020,3,1,41,93,69,684,17,754,1539,815,311,16,18,432,69,1312
08-08-2020,3,1,41,93,69,684,17,754,1541,816,311,17,18,432,69,1312
08-09-2020,3,1,41,93,69,684,17,754,1541,816,311,17,18,432,69,1312
08-10-2020,3,1,41,93,69,684,17,754,1541,816,311,17,18,432,69,1312
08-11-2020,3,1,41,93,69,685,17,754,1541,816,311,17,18,432,69,1313
08-12-2020,3,1,41,93,69,685,17,754,1542,816,311,17,18,432,69,1314
08-13-2020,4,1,41,93,69,685,17,754,1543,819,311,17,18,432,69,1314
08-14-2020,4,1,41,93,69,685,17,754,1543,820,311,17,18,432,69,1315
08-15-2020,4,1,41,93,69,685,17,754,1544,820,311,17,18,432,69,1316
08-16-2020,4,1,41,93,69,685,17,754,1545,820,311,17,18,432,69,1318
08-17-2020,4,1,41,93,69,685,17,754,1545,820,311,17,18,432,69,1318
08-18-2020,4,1,41,93,69,685,17,754,1546,822,311,17,18,432,69,1318
08-19-2020,5,1,41,93,69,686,17,754,1546,823,311,17,18,432,69,1322
08-20-2020,6,1,41,93,69,686,17,754,1546,823,312,17,18,432,69,1331
08-21-2020,6,1,41,93,69,686,17,754,1546,823,312,17,18,432,69,1335
08-22-2020,7,1,41,93,69,687,17,755,1547,823,312,17,18,432,69,1337
08-23-2020,7,1,41,93,69,687,17,755,1547,823,312,17,18,432,69,1337
