Admin2,,,,,,,,,,,,
Province/State,Antwerp,Brussels,East Flanders,Flemish Brabant,Hainaut,Liege,Limburg,Luxembourg,Namur,Unknown,Walloon Brabant,West Flanders
Country/Region,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
11-12-2020,0,0,0,0,0,0,0,0,0,13891,0,0
11-13-2020,0,0,0,0,0,0,0,0,0,14106,0,0
11-14-2020,0,0,0,0,0,0,0,0,0,14303,0,0
11-15-2020,0,0,0,0,0,0,0,0,0,14421,0,0
11-16-2020,0,0,0,0,0,0,0,0,0,14616,0,0
11-17-2020,0,0,0,0,0,0,0,0,0,14839,0,0
11-18-2020,0,0,0,0,0,0,0,0,0,15025,0,0
11-19-2020,0,0,0,0,0,0,0,0,0,15196,0,0
11-20-2020,0,0,0,0,0,0,0,0,0,15352,0,0
11-21-2020,0,0,0,0,0,0,0,0,0,15522,0,0
11-22-2020,0,0,0,0,0,0,0,0,0,15618,0,0
11-23-2020,0,0,0,0,0,0,0,0,0,15755,0,0
11-24-2020,0,0,0,0,0,0,0,0,0,15938,0,0
11-25-2020,0,0,0,0,0,0,0,0,0,16077,0,0
11-26-2020,0,0,0,0,0,0,0,0,0,16219,0,0
11-27-2020,0,0,0,0,0,0,0,0,0,16339,0,0
11-28-2020,0,0,0,0,0,0,0,0,0,16461,0,0
11-29-2020,0,0,0,0,0,0,0,0,0,16547,0,0
11-30-2020,0,0,0,0,0,0,0,0,0,16645,0,0
12-01-2020,0,0,0,0,0,0,0,0,0,16786,0,0
12-02-2020,0,0,0,0,0,0,0,0,0,16911,0,0
12-03-2020,0,0,0,0,0,0,0,0,0,17033,0,0
12-04-2020,0,0,0,0,0,0,0,0,0,17142,0,0
