Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Cherkasy Oblast,Chernihiv Oblast,Chernivtsi Oblast,Crimea Republic*,Dnipropetrovsk Oblast,Donetsk Oblast,Ivano-Frankivsk Oblast,Kharkiv Oblast,Kherson Oblast,Khmelnytskyi Oblast,Kiev,Kiev Oblast,Kirovohrad Oblast,Luhansk Oblast,Lviv Oblast,Mykolaiv Oblast,Odessa Oblast,Poltava Oblast,Rivne Oblast,Sevastopol*,Sumy Oblast,Ternopil Oblast,Unknown,Vinnytsia Oblast,Volyn Oblast,Zakarpattia Oblast,Zaporizhia Oblast,Zhytomyr Oblast
Country/Region,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine
07-12-2022,2973,2751,3290,5329,9454,5607,3476,6858,2881,3703,8966,5019,1741,2392,6569,3530,5917,4181,2530,2398,3208,2391,0,3546,2394,2724,5866,3538
07-13-2022,2973,2751,3290,5330,9454,5607,3476,6858,2881,3703,8966,5019,1741,2392,6569,3530,5917,4181,2530,2398,3208,2391,3166,3546,2394,2724,5866,3538
07-14-2022,2973,2751,3290,5331,9454,5607,3476,6858,2881,3703,8966,5019,1741,2392,6569,3530,5917,4181,2530,2399,3208,2391,3166,3546,2394,2724,5866,3538
07-15-2022,2973,2751,3290,5333,9454,5607,3476,6858,2881,3703,8966,5019,1741,2392,6569,3530,5917,4181,2530,2399,3208,2391,3185,3546,2394,2724,5866,3538
07-16-2022,2973,2751,3290,5333,9454,5607,3476,6858,2881,3703,8966,5019,1741,2392,6569,3530,5917,4181,2530,2400,3208,2391,3185,3546,2394,2724,5866,3538
07-17-2022,2973,2751,3290,5333,9454,5607,3476,6858,2881,3703,8966,5019,1741,2392,6569,3530,5917,4181,2530,2401,3208,2391,3185,3546,2394,2724,5866,3538
07-18-2022,2973,2751,3290,5333,9454,5607,3476,6858,2881,3703,8966,5019,1741,2392,6569,3530,5917,4181,2530,2401,3208,2391,3185,3546,2394,2724,5866,3538
07-19-2022,2973,2751,3290,5335,9454,5607,3476,6858,2881,3703,8966,5019,1741,2392,6569,3530,5917,4181,2530,2402,3208,2391,3185,3546,2394,2724,5866,3538
07-20-2022,2973,2751,3290,5335,9454,5607,3476,6858,2881,3703,8966,5019,1741,2392,6569,3530,5917,4181,2530,2403,3208,2391,3185,3546,2394,2724,5866,3538
07-21-2022,2973,2751,3290,5337,9454,5607,3476,6858,2881,3703,8966,5019,1741,2392,6569,3530,5917,4181,2530,2404,3208,2391,3185,3546,2394,2724,5866,3538
