Admin2,,,,,,,,,,,,,,,,,
Province/State,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,W.P. Kuala Lumpur,W.P. Labuan,W.P. Putrajaya,Unknown
Country/Region,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
09-21-2021,2949,1696,699,819,1182,552,757,54,1161,1950,709,8702,330,2348,148,22,0
09-22-2021,3012,1710,725,824,1187,557,775,56,1197,2037,710,8880,333,2392,148,22,0
09-23-2021,3012,1711,735,831,1187,557,781,56,1217,2045,724,8913,333,0,2409,148,22
09-24-2021,3053,1717,749,834,1191,566,795,59,1237,2088,740,8978,339,0,2415,148,22
09-25-2021,3109,1732,767,838,1191,569,809,59,1245,2107,749,9053,343,0,2418,148,22
09-26-2021,3141,1759,778,842,1192,573,814,59,1276,2129,760,9166,348,0,2430,148,22
09-27-2021,3194,1805,783,846,1193,578,819,61,1297,2141,779,9222,352,0,2455,148,22
09-28-2021,3241,1825,797,850,1193,582,829,62,1315,2179,794,9263,359,0,2476,148,22
09-29-2021,3271,1837,806,850,1193,586,837,66,1345,2201,796,9339,366,0,2480,148,22
09-30-2021,3305,1846,807,854,1195,587,860,70,1366,2221,836,9357,374,0,2487,148,22
10-01-2021,3322,1852,822,854,1195,588,867,73,1372,2238,861,9372,376,0,2494,148,22
10-02-2021,3333,1860,827,855,1196,592,877,76,1390,2251,870,9385,385,0,2498,148,22
10-03-2021,3344,1873,836,857,1198,595,903,77,1404,2265,882,9393,386,0,2499,149,22
10-04-2021,3353,1876,846,858,1199,599,916,78,1409,2274,893,9395,390,0,2502,149,22
10-05-2021,3372,1884,857,860,1200,603,930,80,1410,2285,914,9409,395,0,2506,149,22
10-06-2021,3385,1888,869,862,1202,604,936,82,1417,2299,941,9419,397,0,2509,149,22
10-07-2021,3400,1891,875,863,1202,608,950,84,1450,2314,960,9432,403,0,2510,149,22
10-08-2021,3413,1895,883,864,1203,609,954,86,1460,2326,968,9444,403,0,2512,149,22
10-09-2021,3423,1896,888,866,1204,609,958,87,1460,2337,982,9466,404,0,2514,149,22
10-10-2021,3432,1901,902,867,1204,611,965,88,1461,2344,985,9477,407,0,2514,149,22
10-11-2021,3440,1906,907,871,1206,616,969,90,1487,2350,999,9481,408,0,2521,149,22
10-12-2021,3455,1912,918,871,1207,616,978,91,1494,2363,1025,9494,408,0,2522,149,22
10-13-2021,3464,1914,924,874,1209,619,986,94,1497,2369,1041,9497,412,0,2522,149,22
10-14-2021,3479,1918,930,875,1209,620,994,94,1502,2384,1060,9504,414,0,2526,149,23
10-15-2021,3485,1921,944,875,1211,628,1007,97,1511,2389,1075,9511,414,0,2530,149,23
10-16-2021,3518,1923,944,878,1215,629,1011,99,1519,2401,1089,9513,416,0,2531,149,23
10-17-2021,3527,1927,946,882,1216,631,1016,101,1523,2408,1102,9519,417,0,2534,149,23
10-18-2021,3545,1936,950,884,1216,633,1019,102,1530,2413,1115,9521,420,0,2537,149,23
10-19-2021,3553,1936,955,888,1217,636,1028,105,1536,2417,1131,9530,420,0,2538,149,23
10-20-2021,3564,1945,958,890,1218,640,1033,106,1544,2427,1143,9536,424,0,2538,149,23
10-21-2021,3572,1946,971,890,1218,642,1047,107,1550,2443,1164,9548,426,0,2538,149,23
10-22-2021,3581,1952,973,890,1221,642,1058,108,1560,2450,1181,9559,427,0,2538,149,23
10-23-2021,3583,1952,978,890,1223,643,1061,108,1561,2454,1198,9564,428,0,2539,149,23
10-24-2021,3588,1960,980,890,1225,643,1067,108,1564,2458,1206,9568,432,0,2539,149,23
10-25-2021,3608,1962,992,892,1228,643,1075,108,1578,2466,1220,9572,434,0,2542,149,23
10-26-2021,3615,1968,997,893,1228,644,1087,108,1579,2482,1239,9580,441,0,2543,149,23
10-27-2021,3624,1972,1007,898,1231,648,1098,109,1582,2491,1268,9581,444,0,2549,149,23
10-28-2021,3639,1973,1013,898,1234,653,1107,111,1586,2502,1299,9584,448,0,2552,149,21
10-29-2021,3646,1976,1016,900,1234,656,1114,111,1589,2515,1310,9593,451,0,2551,149,21
10-30-2021,3651,1980,1020,902,1235,657,1115,113,1590,2520,1320,9596,453,0,2554,149,21
10-31-2021,3653,1983,1022,902,1237,657,1116,113,1595,2522,1332,9597,457,0,2556,149,21
11-01-2021,3659,1983,1027,903,1237,659,1118,115,1599,2529,1352,9602,463,0,2559,149,21
11-02-2021,3663,1989,1038,903,1237,660,1123,115,1607,2533,1370,9613,464,0,2560,149,21
11-03-2021,3671,1992,1047,905,1238,660,1124,118,1609,2537,1380,9614,465,0,2561,149,21
11-04-2021,3679,1995,1054,905,1239,664,1130,118,1611,2540,1399,9620,468,0,2563,149,21
11-05-2021,3685,1998,1056,906,1239,666,1132,118,1611,2541,1415,9625,472,0,2568,149,21
11-06-2021,3688,2001,1059,907,1239,671,1134,118,1611,2548,1433,9632,476,0,2569,149,21
11-07-2021,3694,2001,1063,907,1240,675,1139,118,1613,2550,1439,9632,481,0,2569,149,21
11-08-2021,3700,2005,1069,909,1240,676,1146,118,1613,2551,1451,9645,485,0,2571,149,21
11-09-2021,3705,2024,1077,911,1241,676,1153,118,1613,2559,1464,9657,487,0,2572,149,21
11-10-2021,3707,2029,1081,912,1242,677,1161,118,1617,2570,1476,9660,491,0,2575,149,21
11-11-2021,3709,2030,1084,912,1242,678,1170,118,1617,2582,1483,9667,497,0,2576,149,21
11-12-2021,3710,2030,1087,912,1244,678,1173,119,1622,2592,1489,9676,497,0,2577,149,21
11-13-2021,3711,2034,1092,914,1244,679,1178,119,1622,2597,1511,9681,501,0,2578,149,21
11-14-2021,3712,2042,1095,916,1245,679,1182,119,1629,2600,1515,9688,504,0,2580,149,21
11-15-2021,3717,2045,1099,916,1247,682,1183,120,1629,2608,1527,9693,513,0,2580,149,21
11-16-2021,3719,2046,1102,917,1250,682,1185,120,1634,2613,1533,9700,517,0,2581,149,21
11-17-2021,3723,2050,1105,920,1253,685,1198,120,1635,2616,1541,9710,526,0,2585,149,21
11-18-2021,3728,2057,1111,922,1255,686,1202,121,1635,2617,1551,9716,534,0,2587,149,21
11-19-2021,3728,2062,1115,923,1257,688,1202,122,1638,2632,1555,9723,534,0,2588,149,21
11-20-2021,3729,2066,1116,926,1257,689,1207,122,1638,2637,1559,9727,546,0,2589,149,21
11-21-2021,3733,2069,1121,926,1258,690,1210,122,1639,2639,1561,9727,548,0,2589,149,21
11-22-2021,3744,2072,1123,927,1259,691,1217,122,1639,2648,1563,9740,555,0,2593,149,21
11-23-2021,3748,2075,1131,932,1259,694,1218,122,1643,2655,1567,9745,557,0,2594,149,21
11-24-2021,3751,2077,1135,932,1264,696,1221,122,1643,2660,1568,9749,564,0,2595,149,21
11-25-2021,3752,2079,1143,933,1265,699,1227,122,1645,2664,1574,9754,572,0,2596,149,21
11-26-2021,3757,2079,1147,933,1266,703,1235,123,1645,2672,1577,9758,575,0,2600,149,21
11-27-2021,3760,2080,1152,934,1267,706,1241,124,1648,2674,1579,9763,580,0,2602,149,21
11-28-2021,3762,2086,1158,934,1267,708,1248,124,1648,2676,1579,9763,582,0,2604,149,21
11-29-2021,3768,2089,1163,934,1271,711,1254,124,1648,2678,1581,9777,593,0,2609,149,21
11-30-2021,3771,2089,1167,936,1273,715,1258,124,1653,2683,1585,9787,599,0,2615,149,21
12-01-2021,3775,2091,1172,937,1275,716,1266,124,1654,2690,1589,9799,600,0,2616,149,21
12-02-2021,3777,2092,1178,938,1276,716,1272,124,1659,2696,1590,9808,605,0,2619,150,21
12-03-2021,3778,2092,1179,939,1278,716,1272,126,1659,2698,1591,9811,607,0,2621,150,21
12-04-2021,3782,2092,1183,939,1281,718,1275,127,1665,2707,1591,9812,610,0,2621,150,21
12-05-2021,3790,2097,1184,940,1282,720,1281,127,1666,2711,1594,9816,614,0,2621,150,21
12-06-2021,3791,2101,1188,942,1283,723,1286,127,1666,2714,1595,9822,618,0,2625,150,21
12-07-2021,3794,2109,1190,943,1287,725,1293,127,1672,2719,1597,9833,630,0,2628,150,21
12-08-2021,3797,2111,1191,944,1289,727,1295,127,1674,2724,1597,9839,631,0,2629,150,21
12-09-2021,3801,2114,1195,945,1289,728,1300,128,1678,2727,1602,9845,634,0,2630,150,21
12-10-2021,3809,2116,1197,946,1291,732,1302,128,1682,2733,1605,9849,639,0,2631,150,21
12-11-2021,3809,2117,1197,946,1291,733,1306,128,1683,2740,1609,9859,640,0,2633,150,21
12-12-2021,3809,2119,1200,947,1291,733,1308,130,1685,2741,1609,9859,644,0,2633,150,21
12-13-2021,3809,2120,1203,947,1295,734,1308,131,1686,2744,1612,9862,649,0,2637,150,21
12-14-2021,3812,2122,1209,947,1298,735,1312,131,1694,2750,1613,9867,655,0,2639,151,21
12-15-2021,3815,2125,1214,947,1298,737,1316,131,1694,2750,1613,9872,662,0,2643,151,21
12-16-2021,3819,2129,1215,948,1301,740,1320,131,1700,2752,1613,9875,666,0,2645,151,21
12-17-2021,3820,2129,1217,948,1303,740,1327,132,1700,2754,1613,9878,666,0,2645,151,21
12-18-2021,3821,2132,1217,949,1303,741,1334,132,1703,2758,1614,9884,666,0,2647,151,21
12-19-2021,3825,2134,1218,949,1303,743,1336,132,1703,2761,1614,9886,669,0,2647,151,21
12-20-2021,3831,2139,1222,950,1304,745,1336,133,1713,2765,1614,9889,673,0,2648,151,22
12-21-2021,3833,2143,1226,950,1309,747,1343,134,1722,2767,1614,9898,679,0,2654,151,22
12-22-2021,3836,2147,1227,951,1310,753,1348,134,1722,2769,1614,9901,682,0,2654,151,22
12-23-2021,3837,2148,1230,951,1311,755,1362,134,1729,2770,1614,9907,686,0,2658,151,22
12-24-2021,3843,2150,1232,951,1311,756,1366,134,1729,2771,1614,9910,691,0,2659,151,22
12-25-2021,3846,2150,1234,951,1312,758,1370,135,1732,2771,1614,9916,692,0,2661,151,22
12-26-2021,3848,2151,1234,951,1313,758,1374,135,1735,2772,1615,9916,697,0,2662,151,22
12-27-2021,3851,2152,1236,952,1315,759,1378,135,1740,2774,1615,9927,697,0,2665,151,22
12-28-2021,3855,2153,1238,953,1316,761,1381,135,1740,2775,1615,9929,701,0,2667,151,22
12-29-2021,3855,2156,1242,953,1319,764,1385,135,1740,2775,1615,9941,703,0,2672,151,22
12-30-2021,3859,2157,1245,954,1319,767,1393,136,1740,2782,1615,9944,705,0,2673,151,22
12-31-2021,3860,2158,1245,954,1319,768,1396,136,1745,2783,1615,9954,708,0,2673,151,22
01-01-2022,3861,2160,1246,954,1320,771,1399,136,1745,2783,1616,9958,711,0,2680,151,22
01-02-2022,3864,2161,1247,955,1321,771,1399,136,1745,2785,1616,9963,715,0,2681,151,22
01-03-2022,3866,2162,1250,955,1321,773,1403,136,1751,2787,1617,9969,717,0,2680,151,22
